Repo,Scope,Pattern_raw_name,Canonical_codes,How_implemented,Notable,Source_links
agentii-ai/growth-hacking-kit,growth-marketing,spec.md → plan.md → tasks.md → implement (Spec-Kit document-handoff chain),"CM-08, CM-10","Each /growthkit.* command writes one artifact under specs/###-campaign-name/ that the next command reads: create-new-feature.sh mkdirs the campaign folder + checklists/ + assets/ and emits a JSON object {spec_file, plan_file, tasks_file, branch_name}; specify writes spec.md, plan reads spec.md and writes plan.md (+research.md/data-model.md/quickstart.md/contracts/), tasks reads plan.md and writes tasks.md, implement reads tasks.md+plan.md+data-model+contracts+research+quickstart and executes. The written spec is the durable source of truth — 'No implementation without an approved specification' (Constitution Principle I).",★,https://raw.githubusercontent.com/agentii-ai/growth-hacking-kit/main/.growthkit/scripts/bash/create-new-feature.sh | https://raw.githubusercontent.com/agentii-ai/growth-hacking-kit/main/.claude/commands/specify.md | https://raw.githubusercontent.com/agentii-ai/growth-hacking-kit/main/.claude/commands/implement.md | https://raw.githubusercontent.com/agentii-ai/growth-hacking-kit/main/.growthkit/templates/spec-template.md
agentii-ai/growth-hacking-kit,growth-marketing,Growth Hacking Kit Constitution v1.1.0 (.growthkit/memory/constitution.md),CM-22,"A single governance doc of 7 NON-NEGOTIABLE principles ('Constitution Supremacy: principles win' over ad-hoc tactics) that the plan command must validate via explicit 'Constitution Check Gates' — Mandatory gates (spec exists, growth type identified, audience specific, viral loop defined, k-factor target, metrics defined, pilot scoped) MUST pass before Phase 0 research and BLOCK implementation if unjustified; Advisory gates re-checked after Phase 1. Carries an embedded machine-readable SYNC IMPACT REPORT header tracking version bumps + which templates each amendment touched, and a semver amendment process (MAJOR/MINOR/PATCH).",★,https://raw.githubusercontent.com/agentii-ai/growth-hacking-kit/main/.growthkit/memory/constitution.md
agentii-ai/growth-hacking-kit,growth-marketing,Metrics-first success gates (Growth Metrics Dashboard 2025 benchmarks),"CM-22, CM-10","Principle IV bakes a benchmark table into the constitution (Acceptance Rate >30%, Time-to-Wow <5min, Time-to-Trust <7d, k-factor >1.1, NRR 106-120%, Time-to-First-Share <24h) and forbids vanity metrics without a paired activation metric; every spec MUST declare primary+activation+engagement metrics, and these targets become the go/no-go thresholds (k-factor>0.8 min, engagement>5%) the implement command checks at the pilot validation checkpoint. Metrics function as the durable success contract the whole chain executes against.",★,https://raw.githubusercontent.com/agentii-ai/growth-hacking-kit/main/.growthkit/memory/constitution.md | https://raw.githubusercontent.com/agentii-ai/growth-hacking-kit/main/.growthkit/templates/commands/growthkit-implement.md
agentii-ai/growth-hacking-kit,growth-marketing,CLAUDE.md generated by update-agent-context.sh,"CM-02, CM-25","A bash script heredoc-writes a fixed CLAUDE.md (and .cursor/README.md, .windsurf/README.md) that acts as the root identity/index file: it lists project structure, 'Key Files to Reference' (constitution + specs/001-*/spec|plan|tasks), the available slash commands, tech stack, the 7 principles, the constitution-check gates, and the 2025 metric benchmarks — a deterministic map pointing agents at where knowledge lives rather than embedding it.",,https://raw.githubusercontent.com/agentii-ai/growth-hacking-kit/main/.growthkit/scripts/bash/update-agent-context.sh
agentii-ai/growth-hacking-kit,growth-marketing,refs/ living reference library,"CM-04, CM-25","Tier-3 just-in-time knowledge: refs/0_overview.md … refs/7_optimization.md hold the detailed growth research/case studies per workflow phase (1_principles→constitution, 2_define→specify, 3→plan, 4→tasks, 5_writing→optimize, 6/7→claude code). Specs MUST reference refs/1_principles_for_constitution.md; the constitution names refs/ as the 'working reference library' updated quarterly — content is pulled in by stage rather than always-loaded.",,https://raw.githubusercontent.com/agentii-ai/growth-hacking-kit/main/.growthkit/memory/constitution.md | https://raw.githubusercontent.com/agentii-ai/growth-hacking-kit/main/README.md
agentii-ai/growth-hacking-kit,growth-marketing,Folder-per-campaign with multi-kit namespace isolation,CM-11,"Each campaign is a numbered folder specs/###-campaign-name/ (spec/plan/tasks + checklists/ + assets/) on a matching git branch; create-new-feature.sh derives the next ###- number by scanning remote branches, local branches, and existing specs/ dirs for the short-name. Multi-Kit Architecture Standards enforce that this co-exists with spec-kit: separate .growthkit/ dir, growthkit-cli package, /growthkit.* command prefix, GROWTHKIT_CAMPAIGN env var — so the same repo can hold .specify/, .growthkit/, .blogkit/ change-folders side by side (repo actually ships all three).",,https://raw.githubusercontent.com/agentii-ai/growth-hacking-kit/main/.growthkit/scripts/bash/create-new-feature.sh | https://raw.githubusercontent.com/agentii-ai/growth-hacking-kit/main/.claude/commands/specify.md | https://raw.githubusercontent.com/agentii-ai/growth-hacking-kit/main/.growthkit/memory/constitution.md
AgriciDaniel/claude-seo,growth-marketing,CLAUDE.md / AGENTS.md root + plugin.json manifest,CM-02,"Root CLAUDE.md describes the 'Tier 4 skill' identity, 3-layer design (directive / orchestration / execution), repo topology (dual origin/aimh remotes, release-on-private-first), security rules (validate_url SSRF gate, creds in ~/.config/claude-seo). AGENTS.md is the cross-harness entry doc; .claude-plugin/plugin.json is the machine-readable manifest declaring name/version/description and the 25-skill/18-agent count.",★,https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/CLAUDE.md | https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/AGENTS.md | https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/.claude-plugin/plugin.json
AgriciDaniel/claude-seo,growth-marketing,"Progressive Disclosure routing ('Read SKILL.md for routing, load references on demand')","CM-05, CM-01","The /seo orchestrator SKILL.md holds only a routing table (command -> sub-skill); each sub-skill (e.g. seo-technical) keeps heavy domain knowledge in a references/ subfolder (e.g. references/agent-friendly-pages.md) loaded just-in-time. AGENTS.md states the explicit principle: 'Progressive Disclosure: Read SKILL.md for routing, load references on demand.' Frontmatter description is the auto-invocation/trigger surface; full content drills in only when matched.",★,https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/AGENTS.md | https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/skills/seo/SKILL.md | https://github.com/AgriciDaniel/claude-seo/tree/main/skills/seo-technical/references
AgriciDaniel/claude-seo,growth-marketing,audit-data.json structured envelope -> google_report.py PDF,"CM-08, CM-20","seo-audit agent writes a typed JSON envelope (audit-data.json) plus per-category files in findings/ to {domain}-audit/; downstream `python3 scripts/google_report.py` reads that envelope to render an A4 PDF (WeasyPrint + matplotlib charts at 200 DPI). The JSON is the doc-as-baton handed from analysis step to report step — a structured payload, not free text.",★,https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/skills/seo-audit/SKILL.md | https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/CLAUDE.md
AgriciDaniel/claude-seo,growth-marketing,seo-drift SQLite baseline/compare state,"CM-14, CM-09","Drift monitoring stores SEO snapshots in SQLite at ~/.cache/claude-seo/drift/baselines.db (tables: baselines, comparisons). A baseline captures 13 fields (title, meta, canonical, robots, H1-H3, JSON-LD, OG, CWV, status, plus SHA-256 hashes of HTML+schema). `compare` fetches current state, normalizes the URL (lowercase scheme/host, strip default ports, sort query params, drop UTM, strip trailing slash), and applies 17 rules across CRITICAL/WARNING/INFO to detect regressions vs the most recent baseline — persistent memory outside the context window, used as a cross-session continuity record of a site's SEO state.",★,https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/skills/seo-drift/SKILL.md
