Num,Insight
1,"Skills are the universal substrate: SKILL.md + frontmatter (SK-01, 40 repos), enforced-output contracts (SK-09, 41), methodology-encoded frameworks (SK-07, 37), folder-with-resources (SK-02, 34) and a root CLAUDE.md/AGENTS.md (CM-02, 36) form the de-facto standard skeleton every repo shares — the field has converged on a common file format."
2,"File-and-folder structure IS the database: the dominant memory strategy is index/map files (CM-25, 34) and document-handoff chains (CM-08, 33) over markdown traversal, not vector RAG. Many repos go further and make the FILESYSTEM the state machine and coordination bus — externalized state-tree executors (new CM-31: ccpm's GitHub-Issues-as-DB, APM's file mailboxes, claude-flow's blackboard) let stateless agents be hot-swapped."
3,"Spec-driven development is the backbone workflow: spec/PRD-as-source-of-truth (CM-10, 28) feeds a Planner→Workers (SA-03) and sequential-pipeline (SA-15) execution model, with constitutions/governance docs (CM-22, 18) as the anti-drift gate. github/spec-kit, BMAD, OpenSpec, ccpm, task-master all instantiate the same propose→plan→build→verify loop."
4,"Anti-hallucination and verification are first-class, escalating from soft to hard: gap-flagging (SK-10, 22) and adversarial verifiers (SA-07, 17) are common; the leading edge adds RUNTIME proof — deterministic completion oracles and reachability gates (new CM-34, anombyte93), confidence-gated LLM-judge filters (anthropics/claude-plugins-official), and self-disclosed-confidence skeptics (slgoodrich) — distrusting agent output by construction."
5,"The OS now evaluates and governs ITSELF: a new cluster of meta-mechanisms appeared that has no single canonical home before this pass — self/routing evals (new CM-30), doc-drift/counter-integrity CI gates (new CM-35), statistical reliability certification (new SK-22), and skill-quality validators (SK-21, 27). Repos treat their own skills, routing, and docs as testable, drift-prone artifacts."
6,"Cost has become a governing constraint, not an afterthought (new CM-33): free-model pins + cost ledgers (modimihir07), named retrieval cost-mode bundles with a $/mo matrix (gbrain), subscription-session runtimes (smixs), and cost-tiered verification ladders (cdeust) all treat spend as a constitutional gate — a theme absent from the original vocabulary."
7,"Cross-harness portability is a deliberate design axis: cross-harness packaging (SK-16, 23), CLI installers (SK-19, 23), and plugin/marketplace bundling (SK-17, 22) are widespread, ranging from minimalist two-field frontmatter (assimovt) to full adapter compilers (wshobson) and 243-plugin pointer registries (anthropics/claude-plugins-official); the new SK-23 (domain re-skin) shows the whole OS itself being forked and rebound to marketing/growth."
8,"Second-brain repos form a distinct sub-genre with shared DNA: tiered context trees (CM-01), living LLM-maintained wikis (CM-12), memory tiering/decay and consolidation (CM-15/CM-16), people CRMs (CM-26), and the new corroboration-gated promotion (CM-32) cluster almost entirely in gbrain/gstack/COG/obsidian/smixs/coleam00/iusztinpaul — a recognizably different lineage from the PRD/spec-driven repos."
9,"Subagent wiring spans a wide infrastructure spectrum for the SAME outcome: from zero-infra verbal role-swap in one context (aakashg) to markdown-defined agents (SA-09, 28), parallel fan-out (SA-05, 21), worktree isolation (SA-10), dependency waves (SA-11), and full swarms with trust scores (new SA-21, claude-flow) — and a notable counter-current that REFUSES consensus (new SA-19, disagreement-preserving synthesis) treating preserved tension as the deliverable."
10,"Graceful degradation is an emerging portability concern (new SA-20): the same multi-agent workflow is authored to collapse to single-context sequential when the host harness lacks subagents (AgriciDaniel) or per a one-field solo/team toggle (COG) — recognizing that the broad PM-OS audience runs on heterogeneous, often subagent-less harnesses."
