Code,Canonical_name,Axis,Definition,Repos
CM-29,Tool-agnostic connector indirection,context_mgmt,"Skills address an abstract capability CATEGORY (~~tracker, ~~chat); a separate resolver table binds it to whatever MCP server the user connected, so one skill body is portable across competing tools. Distinct from CM-04 (lazy retrieval) and CM-25 (index) because the indirection is a vendor-abstraction layer, not just deferred loading.",anthropics/knowledge-work-plugins
CM-30,Self-eval / routing eval harness,context_mgmt,"A graded eval measuring the OS's OWN behavior — skill-routing accuracy, memory contribution (A/B phrase-subset), or agent-session quality from session traces — against labeled cases with a min-pass-rate CI gate. No existing CM/SK code captures evaluating the system's own retrieval/routing as a tested behavior.","itseffi/personal-os, amanaiproduct/personal-os"
CM-31,Externalized state-tree executors,context_mgmt,"100% of project state lives in an external file tree / issue tracker / addressed memory blackboard; agents hold no durable state and are hot-swappable, coordinating via filesystem mailboxes or addressed key-spaces rather than direct handoff. Generalizes the file-message-bus, issue-tracker-as-DB, blackboard, and receiver-tagged-routing flags into one architecture.","automazeio/ccpm, sdi2200262/agentic-project-management, ruvnet/claude-flow, msitarzewski/agency-agents"
CM-32,Corroboration-gated promotion,context_mgmt,"A concept/entity earns a durable first-class page only when independently mentioned ≥2 times across distinct sources; single-source mentions stay transient. Counting signal is the promotion gate. Inverse of CM-15 decay; distinct from CM-16 consolidation because it gates page CREATION, not merge.","huytieu/COG-second-brain, iusztinpaul/ai-research-os-workshop"
CM-33,Cost-as-governing-constraint,context_mgmt,"Spend is a first-class governance gate: free-tier/model pins, a cost ledger, named retrieval cost-mode bundles, subscription-session runtime, and threshold alerts wired as halting checkpoints. No CM/SK code treats cost as a constitutional constraint.","modimihir07/agentic-os, garrytan/gbrain, smixs/agent-second-brain"
CM-34,Deterministic completion oracle / anti-fake gate,context_mgmt,"A runtime check that proves work is genuinely done — sandbox re-execution emitting an unfakable ship token, reachability/orphan classification, per-phase typed-evidence PreToolUse gate — blocking scaffolded-but-unwired code from counting as shipped. Stronger than CM-22 written governance: it is a runtime oracle.",anombyte93/prd-taskmaster
CM-35,Generated-counter integrity / doc-drift CI gate,context_mgmt,"A CI script derives headline counts and cross-references from the actual directory tree and fails the build if committed docs/manifests disagree (or regenerates them from source and self-commits). Keeps a large monorepo's self-description from drifting. Distinct from SK-21 skill-quality validators because it polices the corpus's own bookkeeping/docs, not skill behavior.","alirezarezvani/claude-skills, wshobson/agents, coreyhaines31/marketingskills"
SK-22,Statistical reliability certification,skills,"A probabilistic harness runs many simulated invocations and produces confidence intervals + a certification grade, treating a skill like a flaky test suite. Distinct from SK-21 (boolean lint) by being a measurement discipline with CIs and grades.",wshobson/agents
SK-23,Domain re-skin of a coding-agent OS,skills,"Forking an entire spec-driven dev toolchain and rebinding its slots (tests→metrics, code→assets, constitution→domain principles) to a different function while keeping the CLI/command/template machinery intact. The OS is the fork-and-rebind recipe. Not captured by SK-16 (cross-harness) or SK-17 (bundling).","agentii-ai/growth-hacking-kit, coreyhaines31/marketingskills, zubair-trabzada/ai-marketing-claude"
SA-19,Disagreement-preserving synthesis,subagents,"A synthesis pass over independent parallel outputs reports BOTH convergence (signal) AND unresolved tensions, refusing consensus — preserved disagreement is the deliverable, escalated to a human. Opposite of SA-08 (debate→consensus) and SA-18 (council to a verdict).","msitarzewski/agency-agents, eugeniughelbur/obsidian-second-brain"
SA-20,Signal-gated conditional roster,subagents,"A gate selects WHICH specialist personas join a run based on detected signals (business type, MCP/credential availability, prior-state), and degrades the same workflow to single-context sequential when the harness lacks subagents. Distinct from SA-11 (waves of identical workers) and SA-05 (unconditional fan-out): it is per-run roster composition + graceful degradation.","AgriciDaniel/claude-seo, huytieu/COG-second-brain"
SA-21,Trust-scored agent reputation,subagents,Continuous quantitative per-agent trust/reputation scoring used to gate or weight an agent's contribution in coordination/consensus. No SA code (closest SA-08/SA-16) covers reputation weighting.,ruvnet/claude-flow
