Place,County,Type,Data status,"Drive to SF (min, off-peak)",Miles to SF (straight line),Urban rank (1=most urban),Population,2BR median rent $,3BR median rent $,2BR under $4k supply,3BR under $4k supply,Violent crime /1k,Property crime /1k,School district,Sources
Alameda,Alameda,City,Measured,23.7,8.6,46,78280,2980,3760,Plenty,Some,3.2,49.1,Alameda Unified School District,"apartments.com; homesnacks.com (violent rate, 2025 report); areavibes.com (property rate); crimegrade.org (geographic variation, MV theft)"
Albany,Alameda,City,Partly measured (2/6),23.1,8.2,55,20271,2257,,Plenty,-,2.9,,Albany Unified School District,apartments.com; crimegrade.org
Berkeley,Alameda,City,Measured,23.5,8.4,51,124321,3341,4195,Plenty,Some,6.4,52.3,Berkeley Unified School District,apartments.com; plaincrime.com
Dublin,Alameda,City,Measured,40.9,25.8,122,72589,3110,3732,Plenty,Some,2.5,13.7,Dublin Unified School District,apartments.com; crimegrade.org
Emeryville,Alameda,City,Partly measured (3/6),20.4,6.4,39,12905,3615,,Plenty,-,12.3,134.9,Emery Unified School District,rentcafe.com; plaincrime.com / opencrime.us (FBI UCR 2024)
Fremont,Alameda,City,Measured,43.6,28.0,76,230504,3265,3659,Plenty,Plenty,3.1,15.8,Fremont Unified School District,apartments.com; crimegrade.org
Newark,Alameda,City,Partly measured (3/6),42.0,26.7,75,47529,2834,3827,Plenty,Some,3.2,,Newark Unified School District,rentometer.com; crimegrade.org (3.157/1k); neighborhoodscout.com (4/1k)
Oakland,Alameda,City,Measured,20.9,6.7,36,440646,2650,4070,Plenty,Some,16.9,60.2,Oakland Unified School District,zumper.com; eufy.com (2024 rates); oaklandreport.org (2025 trend)
Piedmont,Alameda,City,Partly measured (1/6),24.5,9.1,48,11270,3297,,Plenty,-,,,,apartments.com
Bayview Hunters Point,San Francisco,SF neighbourhood,Partly measured (3/6),16.3,4.6,29,37700,4398,,Some,-,8.3,31.6,San Francisco Unified School District,apartments.com; crimegrade.org
Bernal Heights,San Francisco,SF neighbourhood,Partly measured (2/6),14.8,4.0,10,25900,4795,,Few,-,6.2,,San Francisco Unified School District,rentable.co; crimegrade.org
Castro/Upper Market,San Francisco,SF neighbourhood,Measured,12.5,3.2,2,22000,3547,5498,Plenty,Few,9.4,45.9,San Francisco Unified School District,apartments.com; crimegrade.org
Chinatown,San Francisco,SF neighbourhood,Partly measured (3/6),5.3,0.7,17,14800,4471,7752,Some,Almost none,17.4,,San Francisco Unified School District,apartments.com; crimegrade.org
Excelsior,San Francisco,SF neighbourhood,Partly measured (1/6),18.4,5.3,19,40300,,,-,-,5.2,,San Francisco Unified School District,crimegrade.org
Financial District/South Beach,San Francisco,SF neighbourhood,Partly measured (3/6),4.0,0.3,20,19000,5797,8464,Very few,Almost none,26.9,,San Francisco Unified School District,apartments.com; crimegrade.org
Glen Park,San Francisco,SF neighbourhood,Partly measured (2/6),17.0,4.8,14,8500,3995,,Some,-,4.6,,San Francisco Unified School District,rentable.co; crimegrade.org
Golden Gate Park,San Francisco,SF neighbourhood,Parkland - not ranked,18.3,5.2,34,50,,,-,-,,,San Francisco Unified School District,safe-route.app; safemap.io
Haight Ashbury,San Francisco,SF neighbourhood,Measured,12.9,3.4,9,17000,5203,7667,Few,Almost none,8.4,43.6,San Francisco Unified School District,zumper.com; crimegrade.org
Hayes Valley,San Francisco,SF neighbourhood,Partly measured (2/6),9.6,2.2,3,9500,5954,8774,Very few,Almost none,,,San Francisco Unified School District,"rental aggregator result, exact publisher unresolved (rent.com / rentcafe.com results set); safemap.io (with niche.com corroborating the 'higher than most' read)"
Inner Richmond,San Francisco,SF neighbourhood,Measured,14.8,4.0,28,23800,3695,5495,Plenty,Few,3.4,40.0,San Francisco Unified School District,renthop.com; crimegrade.org
Inner Sunset,San Francisco,SF neighbourhood,Partly measured (3/6),17.0,4.8,26,22000,4795,,Few,-,6.6,37.6,San Francisco Unified School District,zumper.com; crimegrade.org
Lakeshore,San Francisco,SF neighbourhood,Partly measured (1/6),23.4,7.0,37,14000,3251,,Plenty,-,,,San Francisco Unified School District,apartmenthomeliving.com
Lincoln Park,San Francisco,SF neighbourhood,Parkland - not ranked,20.6,6.0,50,50,,,-,-,,,San Francisco Unified School District,
Lone Mountain/USF,San Francisco,SF neighbourhood,Partly measured (2/6),13.0,3.4,16,24000,2834,4303,Plenty,Some,,,San Francisco Unified School District,apartments.com; niche.com
Marina,San Francisco,SF neighbourhood,Partly measured (3/6),10.0,2.4,30,24000,3878,5373,Some,Few,7.6,,San Francisco Unified School District,apartments.com; crimegrade.org
McLaren Park,San Francisco,SF neighbourhood,Parkland - not ranked,19.1,5.5,25,80,,,-,-,,,San Francisco Unified School District,
Mission,San Francisco,SF neighbourhood,Partly measured (3/6),11.0,2.7,1,58800,4097,11672,Some,Almost none,12.4,,San Francisco Unified School District,apartments.com; crimegrade.org
Mission Bay,San Francisco,SF neighbourhood,Partly measured (2/6),8.3,1.8,13,17000,6644,7032,Very few,Very few,,,San Francisco Unified School District,apartments.com; safemap.io
Nob Hill,San Francisco,SF neighbourhood,Partly measured (3/6),6.7,1.2,15,26000,3490,4568,Plenty,Some,11.0,,San Francisco Unified School District,apartments.com; crimegrade.org
Noe Valley,San Francisco,SF neighbourhood,Measured,14.2,3.8,4,22000,5995,8834,Very few,Almost none,5.5,40.2,San Francisco Unified School District,renthop.com; crimegrade.org
North Beach,San Francisco,SF neighbourhood,Partly measured (3/6),5.9,0.9,23,13000,5422,,Few,-,7.5,88.0,San Francisco Unified School District,zumper.com; crimegrade.org; wesanfrancisco.org
Oceanview/Merced/Ingleside,San Francisco,SF neighbourhood,Partly measured (1/6),21.8,6.4,33,28800,3710,,Plenty,-,,,San Francisco Unified School District,rentable.co; crimegrade.org; goodmigrations.com
Outer Mission,San Francisco,SF neighbourhood,Partly measured (3/6),21.6,6.4,31,26000,3500,,Plenty,-,4.0,22.9,San Francisco Unified School District,rentable.co; crimegrade.org
Outer Richmond,San Francisco,SF neighbourhood,Partly measured (1/6),19.3,5.6,42,45000,,,-,-,6.1,,San Francisco Unified School District,crimegrade.org
Pacific Heights,San Francisco,SF neighbourhood,Measured,9.9,2.3,18,24000,5282,8119,Few,Almost none,8.1,59.1,San Francisco Unified School District,apartments.com; crimegrade.org
Portola,San Francisco,SF neighbourhood,Partly measured (1/6),17.4,4.9,22,17000,3975,,Some,-,,,San Francisco Unified School District,rentable.co; niche.com; doorprofit.com
Potrero Hill,San Francisco,SF neighbourhood,Partly measured (3/6),10.7,2.6,8,15000,6500,8206,Very few,Almost none,9.3,,San Francisco Unified School District,zumper.com; crimegrade.org
Presidio,San Francisco,SF neighbourhood,Parkland - not ranked,14.6,4.0,35,4000,,,-,-,,,San Francisco Unified School District,reolink.com
Presidio Heights,San Francisco,SF neighbourhood,Partly measured (2/6),13.1,3.4,27,11000,4616,,Some,-,7.3,,San Francisco Unified School District,rentable.co; crimegrade.org
Russian Hill,San Francisco,SF neighbourhood,Partly measured (3/6),7.3,1.4,24,18900,7495,11045,Almost none,Almost none,10.8,,San Francisco Unified School District,zumper.com; crimegrade.org
Seacliff,San Francisco,SF neighbourhood,Partly measured (1/6),18.5,5.3,43,2500,,,-,-,6.5,,San Francisco Unified School District,crimegrade.org
South of Market,San Francisco,SF neighbourhood,Partly measured (3/6),7.4,1.5,5,19000,4839,5795,Few,Very few,13.4,,San Francisco Unified School District,apartments.com; crimegrade.org
Sunset/Parkside,San Francisco,SF neighbourhood,Partly measured (3/6),21.8,6.4,38,84600,5248,7733,Few,Almost none,6.1,,San Francisco Unified School District,renthop.com; crimegrade.org
