Code,Canonical_pattern,Num_repos,Definition,Exemplars,Repos
SA-01,Named role personas,24,PM / PO / Architect / Analyst / Designer as distinct agents.,"bmad-code-org/BMAD-METHOD: PM/PO/Architect/Analyst/Dev as a full role roster  •  VoltAgent/awesome-claude-code-subagents: 154-agent catalog, each a distinct named role  •  contains-studio/agents: studio roles (sprint-prioritizer, trend-researcher) as named personas","product-on-purpose/pm-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, contains-studio/agents, nanagajui/agentic_prd, bmad-code-org/BMAD-METHOD, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, huytieu/COG-second-brain, garrytan/gstack, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, smixs/agent-second-brain, modimihir07/agentic-os, alirezarezvani/claude-skills, VoltAgent/awesome-claude-code-subagents, wshobson/agents, rohitg00/awesome-claude-code-toolkit, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo, anthropics/claude-plugins-official"
SA-02,Orchestrator/router → specialists,20,A dispatcher agent routes work to specialist agents.,wshobson/agents: orchestrator dispatches across a 194-agent body  •  huytieu/COG-second-brain: agent_mode toggle collapses orchestrator fan-out to sequential in solo mode  •  eyaltoledano/claude-task-master: dependency-graph orchestrator releases unblocked specialist tasks,"product-on-purpose/pm-skills, slgoodrich/agents, jinjin1/Cursor-for-Product-Managers, contains-studio/agents, bmad-code-org/BMAD-METHOD, eyaltoledano/claude-task-master, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, huytieu/COG-second-brain, garrytan/gbrain, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, modimihir07/agentic-os, alirezarezvani/claude-skills, VoltAgent/awesome-claude-code-subagents, wshobson/agents, rohitg00/awesome-claude-code-toolkit, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo"
SA-03,Planner/Manager → Workers,19,"A planner produces a plan, then delegates tasks to worker agents.",sdi2200262/agentic-project-management: Planner → Manager → Workers over a file-based message bus  •  automazeio/ccpm: a per-issue analysis.md decomposes into named streams that become the literal worker spawn spec  •  ruvnet/claude-flow: Queen issues royal-directives that workers poll from shared memory,"product-on-purpose/pm-skills, itseffi/personal-os, jinjin1/Cursor-for-Product-Managers, automazeio/ccpm, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, huytieu/COG-second-brain, garrytan/gbrain, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, smixs/agent-second-brain, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, wshobson/agents, rohitg00/awesome-claude-code-toolkit, AgriciDaniel/claude-seo, anthropics/skills"
SA-04,Multi-agent team presets,5,"Bundled panels (validation-sprint, war-room) invoked together as a unit.",bmad-code-org/BMAD-METHOD: bundled agent-team presets invoked together  •  slgoodrich/agents: validation panels invoked as a set  •  wshobson/agents: pre-composed multi-agent panels,"slgoodrich/agents, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, alirezarezvani/claude-skills, wshobson/agents"
SA-05,Parallel fan-out subagents,21,N agents work different dimensions concurrently.,"zubair-trabzada/ai-marketing-claude: 5 agents each bound to ONE scoring dimension, reduced via a published weight vector — the fleet IS the scoring model  •  huytieu/COG-second-brain: one agent_mode field collapses the parallel fleet to sequential for users without subagent budget  •  anthropics/claude-plugins-official: 5 parallel Sonnet reviewers fan out before a per-issue judge filter","slgoodrich/agents, msitarzewski/agency-agents, automazeio/ccpm, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, smixs/agent-second-brain, iusztinpaul/ai-research-os-workshop, wshobson/agents, rohitg00/awesome-claude-code-toolkit, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo, anthropics/skills, anthropics/claude-plugins-official"
SA-06,Reviewer/critic persona chain,17,Engineer/designer/exec/skeptic review the output in sequence.,"aakashg/pm-claude-code-setup: 'review as [role]' verbal role-swap chain inside ONE context, zero .claude/agents/ files — lowest-infrastructure critic panel  •  product-on-purpose/pm-skills: pm-critic resolves each artifact type to its ORIGINATING skill's SKILL.md and grades against that contract  •  anthropics/claude-plugins-official: reviewer panel followed by confidence-gated judge","product-on-purpose/pm-skills, itseffi/personal-os, slgoodrich/agents, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, nanagajui/agentic_prd, bmad-code-org/BMAD-METHOD, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, cdeust/ai-prd-generator-plugin, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, alirezarezvani/claude-skills, wshobson/agents, anthropics/skills, anthropics/claude-plugins-official"
SA-07,Adversarial / fresh-context verifier,17,A skeptic agent reviews against spec in a fresh context to avoid confirmation bias.,"slgoodrich/agents: idea-skeptic rates per-attack severity (FATAL/SERIOUS), lists rejected attacks, and self-rates its own confidence to guard against an over-zealous critic  •  anombyte93/prd-taskmaster: reachability verdict blocks scaffolded-but-unwired code from counting as shipped  •  anthropics/claude-plugins-official: per-issue Haiku judge scores 0-100 vs a verbatim rubric, drops everything <80","product-on-purpose/pm-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, anthropics/skills, anthropics/claude-plugins-official"
SA-08,Multi-agent debate / consensus,7,Agents debate; adaptive consensus or graph verification drives toward a single answer.,"cdeust/ai-prd-generator-plugin: cost-tiered escalation ladder — free graph → KS early-stop judges → NLI → debate, each rung unlocked by a measured threshold (claimed 30-50% LLM savings)  •  ruvnet/claude-flow: adaptive consensus weighted by per-agent trust scores  •  garrytan/gstack: two-model disagreement escalated as a User-Challenge","slgoodrich/agents, anombyte93/prd-taskmaster, cdeust/ai-prd-generator-plugin, garrytan/gstack, ruvnet/claude-flow (rebranded ""ruflo""), rohitg00/awesome-claude-code-toolkit, anthropics/skills"
SA-09,Agent definition as markdown+frontmatter,28,System prompt + tools + model declared in a .md file.,"contains-studio/agents: each agent's frontmatter description stuffs 3-4 structured <example>{Context/user/assistant/<commentary>} blocks as the invocation training signal — invocation engineering in prose  •  rohitg00/awesome-claude-code-toolkit: 135 agents wired in by citing agents/<cat>/<name>.md in CLAUDE.md (compose-by-reference, no Task dispatch)  •  VoltAgent/awesome-claude-code-subagents: uniform markdown agent definition across 154 agents","product-on-purpose/pm-skills, amanaiproduct/personal-os, slgoodrich/agents, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, contains-studio/agents, nanagajui/agentic_prd, bmad-code-org/BMAD-METHOD, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), smixs/agent-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, VoltAgent/awesome-claude-code-subagents, wshobson/agents, rohitg00/awesome-claude-code-toolkit, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo, anthropics/skills, anthropics/claude-plugins-official"
SA-10,Worktree-isolated parallel execution,5,Git worktrees per agent to avoid file conflicts.,automazeio/ccpm: file-scoped agents per stream run in isolation to avoid conflicts  •  gsd-build/get-shit-done: worktree-isolated parallel PRs  •  garrytan/gstack: per-agent worktree isolation,"automazeio/ccpm, anombyte93/prd-taskmaster, sdi2200262/agentic-project-management, garrytan/gstack, gsd-build/get-shit-done"
