Rank,SF neighbourhood,TOTAL SCORE,Safety,Rent cost,Close to downtown,Urban density,2BR median rent $,3BR median rent $,2BR under $4k supply,3BR under $4k supply,2BR listings (live),3BR listings (live),Violent crime /1k,Property crime /1k,Drive to Ferry Bldg (min),Population,Schools,School/TK capacity,Sources,Notes
1,Twin Peaks,66.0,83.7,71.9,36.1,72.2,3043,5183,Plenty,Few,1,3,3.9,34.7,15.6,7000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",rentable.co; apartments.com; crimegrade.org (rates); areavibes.com (violent-crime odds),"violent_crime_per_1k CONVERTED: AreaVibes reports a 1-in-254 annual chance of violent victimization in Twin Peaks = 3.94 per 1,000. property_crime_per_1k is CrimeGrade's stated 34.68 per 1,000 (unconverted). Note the two sources are not methodologically identi"
2,Glen Park,65.0,85.7,81.2,29.2,63.9,3995,,Some,-,,,4.6,,17.0,8500,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",rentable.co; crimegrade.org,"Lowest violent-crime rate in this batch (4.583 per 1,000). RENT CONFLICT: rentable.co reports ~$3,995 for a 2BR near Glen Park (recorded), while apartments.com reports $1,830 for 2BR and $1,904 for 3BR -- both far below any plausible Glen Park market rate and "
3,Nob Hill,62.2,17.9,78.1,91.7,61.1,3490,4568,Plenty,Some,,29,11.0,,6.7,26000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartments.com; hotpads.com; crimegrade.org,"2BR: Apartments.com ~$3,490 (May 2026, used) vs RentHop $5,995 (Jul 2026, up 11.85% YoY from $5,360) and ApartmentAdvisor $10,995 average / $6,150-$11,950 range. The gap is explained by unit size -- the average Nob Hill 2BR is only 656 sq ft vs ~1,016 sq ft ci"
4,Western Addition,61.8,22.1,75.0,63.9,86.1,4109,,Some,-,25,,10.6,47.6,10.3,25000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",renthop.com; zumper.com; crimegrade.org (violent rate); areavibes.com (property odds); safemap.io / doorprofit.com (grades),"property_crime_per_1k CONVERTED from AreaVibes' 1-in-21 annual property-victimization odds = 47.6 per 1,000. violent_crime_per_1k (10.56) is CrimeGrade's stated per-1,000 figure, unconverted. 2BR rent sources disagree widely: RentHop $4,109 (used), Rentable.co"
5,Castro/Upper Market,59.9,27.3,59.4,55.6,97.2,3547,5498,Plenty,Few,,5,9.4,45.9,12.5,22000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartments.com; crimegrade.org,"Rents are apartments.com figures for the Castro sub-area of the Castro/Upper Market district. A zillow.com page indicated 2BR listings in Castro-Upper Market 'start at $4,751+', notably above the apartments.com average -- the apartments.com number is the recor"
6,Bernal Heights,56.2,64.3,45.3,40.3,75.0,4795,,Few,-,,,6.2,,14.8,25900,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",rentable.co; crimegrade.org,"IMPORTANT RENT CONFLICT: rentable.co reports ~$4,795 for a 2BR near Bernal Heights, while apartments.com reports ~$2,344 (March 2026) and $2,307 (Dec 2024). The apartments.com series is implausibly low for this neighborhood and appears to reflect a thin/subsid"
7,West of Twin Peaks,56.0,94.2,68.8,16.7,44.4,4367,,Some,-,,,2.6,28.6,19.1,39000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartmenthomeliving.com; areavibes.com (rates); philipfarrproperties.com / reolink.com (Grade A / safest-neighborhood ranking),"BOTH crime figures are CONVERTED from AreaVibes annual victimization odds: 1 in 382 violent = 2.62 per 1,000; 1 in 35 property = 28.57 per 1,000. The violent rate is roughly 14x lower than the Tenderloin's - this is one of SF's safest districts, though propert"
8,South of Market,55.9,10.7,40.6,83.3,88.9,4839,5795,Few,Very few,25,,13.4,,7.4,19000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartments.com; zumper.com; crimegrade.org,"Highest violent-crime rate in this batch by a clear margin. 2BR rent $4,839 (apartments.com); corroborating figures in range - Rentable $5,019 (June 2026 data, 'near SoMa'), Lumen $5,420 (March 2026). Building-level 2BR starting rents seen: The George $3,485+,"
9,Outer Mission,52.9,90.1,93.8,8.3,19.4,3500,,Plenty,-,,5,4.0,22.9,21.6,26000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",rentable.co; apartments.com; crimegrade.org,"2BR rent ~$3,500 from Rentable.co. Zumper's Outer Mission page showed $2,747 but that is an all-bedroom-types average, not 2BR, so it was not used. No 2BR-specific live listing count found (Zillow's '22 Rentals' title covers all bedroom counts). 3BR: Apartment"
10,Noe Valley,51.4,63.3,6.2,44.4,91.7,5995,8834,Very few,Almost none,25,47,5.5,40.2,14.2,22000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",renthop.com; reconstructed from 2BR x 1.47 bedroom premium; zumper.com; crimegrade.org,"2BR rent sources disagree widely: RentHop $5,995 (May 2026, used here), RentCafe range $4,250-$7,324 (Jul 2026), Apartments.com ~$3,530. Zumper 2BR-apartments page title showed 25 rentals. 3BR listings: Zumper page title read '408 3 Bedroom Homes' which is imp"
