Repo,Scope,Takeaway
phuryn/pm-skills,pm-core,"Encode named PM frameworks as individually triggerable skills where the frontmatter description carries BOTH provenance and a 'Use when…' trigger — this makes auto-invocation match the PM's intent and gives every skill an auditable lineage (great for an enablement catalog where 'which method, by whom' matters)."
phuryn/pm-skills,pm-core,"Adopt the noun/verb split: a library of auto-loaded knowledge skills + a thin layer of user-invoked /commands that chain them, with commands scoped to reference only skills in the same pack. It keeps the catalog composable and prevents tangled cross-dependencies."
phuryn/pm-skills,pm-core,"Ship a validate_plugins.py-style CI gate from day one: enforce name=directory, required frontmatter fields, semver, trigger-phrase presence, body word-count bounds, same-plugin cross-refs, and README sections — turns 'skill quality' from taste into a passing check, which is essential when many PMs contribute skills."
phuryn/pm-skills,pm-core,"Use the document-intent-first pattern for any review/audit workflow: generate the spec/doc set as an explicit artifact, then run audits AGAINST that artifact rather than the raw code — and bake 'self-refute every finding, report only evidence-backed risks' into the audit prompt to control hallucination without needing a separate critic agent."
phuryn/pm-skills,pm-core,Make portability a first-class layer: a single universal SKILL.md format plus one marketplace manifest that installs on Claude Code/Cowork and degrades gracefully on Codex (plain-language invocation) and copy-to-folder on Cursor/Gemini — so an enablement program isn't locked to one harness.
phuryn/pm-skills,pm-core,"Note the deliberate limitation: this repo is fully stateless (no memory, no subagents, no persisted artifacts). For a corporate AI-PM OS you'd layer a context/memory tier on top — the skill catalog itself is harness- and memory-agnostic, which is a feature for reuse."
deanpeters/Product-Manager-Skills,pm-core,"Adopt a typed skill taxonomy (component / interactive / workflow) with `type` in frontmatter as the orchestration axis — it makes 'which skill, and does it ask questions or just produce an artifact?' explicit and lets workflow skills compose the smaller ones."
deanpeters/Product-Manager-Skills,pm-core,"Standardize an 'Adaptive Decision Ladder' shape for every advisory/diagnosis skill: 3-5 named-dimension questions, 3-4 numbered options each with an inline consequence gloss + a custom escape hatch, then a recommendation with rationale, an alternative-with-tradeoffs, and reassessment triggers. Highly transferable to corporate AI-PM enablement (prioritization, build-vs-buy, framework selection)."
deanpeters/Product-Manager-Skills,pm-core,"Factor the interaction UX into ONE shared 'facilitation' skill (entry modes, one-question-per-turn, progress labels like 'Q3/8', multi-select parsing, 'recommendations only at decision points', closing 'Assumptions to Validate') and have all interactive skills reference it — keeps a large skill library consistent and short, and gives a clean conflict-precedence rule."
deanpeters/Product-Manager-Skills,pm-core,"Make slash-commands self-documenting workflow routers: declare a `uses:` skill list and `outputs:` deliverables in command frontmatter, number the workflow steps with backticked skill names, add checkpoint gates and 'Next Steps' routing — non-technical PMs run /discover instead of stitching skills by hand."
