Code,Canonical_pattern,Num_repos,Definition,Exemplars,Repos
CM-01,Tiered context tree,17,"Three-tier layout: Tier-1 root always-loaded identity/rules, Tier-2 index that maps where info lives, Tier-3 just-in-time content files pulled only when relevant.","Digidai/product-manager-skills: root skill = tier-1 router, 7 intent tables = tier-2 index, knowledge/*.md = tier-3 lazy content  •  garrytan/gbrain: always-loaded core + index + pgvector/pglite content store as the three tiers  •  anthropics/skills: SKILL.md frontmatter (tier-2 summary) drilled into bundled references/ on match","Digidai/product-manager-skills, aakashg/pm-claude-code-setup, bmad-code-org/BMAD-METHOD, automazeio/ccpm, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, smixs/agent-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, wshobson/agents, AgriciDaniel/claude-seo, anthropics/skills"
CM-02,Root instruction file,36,"A CLAUDE.md / AGENTS.md at the root encoding identity, operating rules, and output standards loaded every session.",amanaiproduct/personal-os: AGENTS.md encodes identity + config.yaml-backed priority caps as operating rules  •  aakashg/pm-claude-code-setup: CLAUDE.md doubles as identity file and the in-context persona-swap table  •  modimihir07/agentic-os: constitution-style CLAUDE.md wires cost-consciousness as a governing principle,"phuryn/pm-skills, deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, itseffi/personal-os, amanaiproduct/personal-os, Digidai/product-manager-skills, assimovt/productskills, shawnpang/startup-founder-skills, aakashg/pm-claude-skills, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, github/spec-kit, anombyte93/prd-taskmaster, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, smixs/agent-second-brain, modimihir07/agentic-os, alirezarezvani/claude-skills, wshobson/agents, rohitg00/awesome-claude-code-toolkit, coreyhaines31/marketingskills, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo, agentii-ai/growth-hacking-kit, anthropics/claude-plugins-official"
CM-03,Always-loaded core facts,16,A tiny token-budgeted 'critical facts' preamble loaded into every session as durable grounding.,"shawnpang/startup-founder-skills: every skill must declare reads:[startup-context] so core facts are guaranteed loaded first  •  coleam00/second-brain-starter: small curated MEMORY.md is the always-loaded tier, kept lean by promotion pipeline  •  Digidai/product-manager-skills: visible-recall convention surfaces reused core facts inline for correction","product-on-purpose/pm-skills, amanaiproduct/personal-os, Digidai/product-manager-skills, shawnpang/startup-founder-skills, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, nanagajui/agentic_prd, bmad-code-org/BMAD-METHOD, huytieu/COG-second-brain, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, modimihir07/agentic-os, alirezarezvani/claude-skills, coreyhaines31/marketingskills"
CM-04,Just-in-time / lazy retrieval,29,Store IDs/keys/links/placeholders and load full objects only at runtime when actually needed.,"anthropics/knowledge-work-plugins: ~~category placeholder tokens resolved to concrete MCP servers only at runtime via CONNECTORS.md  •  Fission-AI/OpenSpec: agent calls `openspec instructions --json` to pull the exact template/path for the current step  •  automazeio/ccpm: GitHub issue numbers stored as keys, full task body fetched via gh CLI on demand","anthropics/knowledge-work-plugins (product-management plugin), itseffi/personal-os, Digidai/product-manager-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, automazeio/ccpm, github/spec-kit, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, buildermethods/agent-os, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, iusztinpaul/ai-research-os-workshop, VoltAgent/awesome-claude-code-subagents, rohitg00/awesome-claude-code-toolkit, coreyhaines31/marketingskills, agentii-ai/growth-hacking-kit, anthropics/skills, anthropics/claude-plugins-official"
CM-05,Progressive disclosure / context drilling,24,"Load skill frontmatter or summaries first, drill into full content only once a match is established.","anthropics/skills: description-match loads SKILL.md, then bundled references/ are pulled only on demand  •  Digidai/product-manager-skills: intent table match → load named file → locate named sub-section  •  Fission-AI/OpenSpec: CLI gates dependency order so the agent only sees the next artifact's instructions","phuryn/pm-skills, deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, itseffi/personal-os, Digidai/product-manager-skills, shawnpang/startup-founder-skills, aakashg/pm-claude-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, automazeio/ccpm, github/spec-kit, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, buildermethods/agent-os, garrytan/gbrain, garrytan/gstack, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, wshobson/agents, rohitg00/awesome-claude-code-toolkit, AgriciDaniel/claude-seo, anthropics/skills"
CM-06,Context firewall,15,A subagent returns a compact summary to the main thread; its raw working output never enters the parent context.,automazeio/ccpm: worker agents do heavy work in isolation and return only a concise status to the main thread  •  github/spec-kit: the negative case — fork machinery left OFF precisely because /analyze's report defeated summary-collapse  •  gsd-build/get-shit-done: breadcrumb subprocess records state without polluting the main stream,"itseffi/personal-os, slgoodrich/agents, automazeio/ccpm, github/spec-kit, anombyte93/prd-taskmaster, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, huytieu/COG-second-brain, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), coleam00/second-brain-starter, iusztinpaul/ai-research-os-workshop, wshobson/agents, rohitg00/awesome-claude-code-toolkit, anthropics/skills"
CM-07,Fresh-context subagent / one-task-one-session,10,Spawn a clean context for heavy or independent work so the main session stays uncluttered.,"sdi2200262/agentic-project-management: stateless executors boot fresh, read .apm/ state, act, write back — hot-swappable  •  smixs/agent-second-brain: scheduled jobs spawn isolated sub-sessions off one long-lived host session  •  anthropics/skills: skill-creator runs N fresh test invocations to observe independent behavior","github/spec-kit, anombyte93/prd-taskmaster, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, garrytan/gstack, gsd-build/get-shit-done, coleam00/second-brain-starter, smixs/agent-second-brain, iusztinpaul/ai-research-os-workshop, anthropics/skills"
CM-08,Document-handoff chain,33,Each step writes an artifact the next step reads — the document is the baton passed down the pipeline.,"jinjin1/Cursor-for-Product-Managers: ordered sibling folders where skill N reads folder N and writes folder N+1  •  snarktank/ai-dev-tasks: PRD doc → tasks doc → implementation, each a fenced template the next clones  •  nanagajui/agentic_prd: every expected_output is explicitly written FOR the downstream coding agent to consume","phuryn/pm-skills, deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, itseffi/personal-os, Digidai/product-manager-skills, pratikshadake/claude-product-management-skills, slgoodrich/agents, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, nanagajui/agentic_prd, bmad-code-org/BMAD-METHOD, automazeio/ccpm, github/spec-kit, snarktank/ai-dev-tasks, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, buildermethods/agent-os, huytieu/COG-second-brain, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo, agentii-ai/growth-hacking-kit, anthropics/skills"
CM-09,Session-handoff / journal file,16,A HANDOFF.md-style continuity doc carries working knowledge across sessions or compaction boundaries.,sdi2200262/agentic-project-management: per-agent handoff.md channel carries continuity to the next instance  •  alirezarezvani/claude-skills: cs-handoff-author runs a redaction linter before persisting the continuity doc  •  gsd-build/get-shit-done: pre-exhaustion breadcrumb snapshot written for session recovery,"product-on-purpose/pm-skills, amanaiproduct/personal-os, slgoodrich/agents, aakashg/pm-claude-code-setup, anombyte93/prd-taskmaster, sdi2200262/agentic-project-management, garrytan/gstack, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, smixs/agent-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, AgriciDaniel/claude-seo"
CM-10,Spec/PRD-as-source-of-truth,28,A written spec or PRD is the durable context artifact agents execute against.,github/spec-kit: the spec is the canonical artifact; commands gate work against it  •  rodrigorjsf/prd-generator-plugin: the finalized PRD is compiled into project-local guardrail skills  •  eyaltoledano/claude-task-master: parse-prd turns the spec into the task graph everything executes from,"phuryn/pm-skills, product-on-purpose/pm-skills, Digidai/product-manager-skills, shawnpang/startup-founder-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, nanagajui/agentic_prd, bmad-code-org/BMAD-METHOD, automazeio/ccpm, github/spec-kit, snarktank/ai-dev-tasks, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, buildermethods/agent-os, huytieu/COG-second-brain, garrytan/gstack, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), coleam00/second-brain-starter, coreyhaines31/marketingskills, agentii-ai/growth-hacking-kit, anthropics/claude-plugins-official"
