Area,Category,Feature,Bosch specific (can not be used elsewhere)?,"Nvidia cuOpt-specific (not relevant if other ""engine"" is used)?","Workforce optimization-specific? (only relevant to workforce optimization; not relevant to supply-chain, warehouse operations, route / fleet optimization)","Home / commercial services workforce specific? (Applicable to the industry where Bosch sits in; not applicable to Telco / Manufacturing/med equipment service / Utilities, etc.)"
Optimization business rules,Work Zone Planning,Stable work zone assignment with temporary overrides,TRUE,FALSE,TRUE,TRUE
,,Technician -> Work Zone allocation for 2-4 week horizon,FALSE,FALSE,TRUE,FALSE
,Allocation,"Allocation rules (skills availabvility, distance, load etc)",TRUE,TRUE,TRUE,TRUE
,,Low-demand work zones covered only selected weekdays,TRUE,FALSE,TRUE,FALSE
,,One primary work zone + neighboring zones,TRUE,FALSE,TRUE,TRUE
,,Reach the maximal load of the technician per day,TRUE,TRUE,FALSE,FALSE
,,Existing work-zone philosophy,TRUE,FALSE,FALSE,FALSE
,,Busy zones coverage,TRUE,FALSE,TRUE,FALSE
,,Neighboring logic,TRUE,FALSE,TRUE,FALSE
,Demand,Historical demand-based workforce allocation,FALSE,FALSE,TRUE,FALSE
,Optimization,"Multi-objective optimization (productivity, waiting time, workload balance)",FALSE,TRUE,TRUE,FALSE
,,Penalty/reward optimization,TRUE,TRUE,FALSE,FALSE
,Constraints,Hard/soft constraint optimization,FALSE,TRUE,TRUE,FALSE
,,Minimal disruption (Preserve current allocation where possible (minimal disruption),TRUE,FALSE,TRUE,TRUE
,Skills,Specialist technicians crossing work-zone boundaries,TRUE,FALSE,TRUE,TRUE
,Absence,Planned vacation reallocation,FALSE,TRUE,TRUE,FALSE
,,Same-day sickness handling,FALSE,FALSE,FALSE,FALSE
,Booking,Non-movable appointments / spare-part constraints,TRUE,FALSE,FALSE,FALSE
,,,,,,
Allocation approval workflow,Review,Compare baseline vs optimized allocation,FALSE,FALSE,TRUE,FALSE
,,Dispatcher approve/reject recommendations,FALSE,FALSE,TRUE,FALSE
,,Comments and export back to OFS,TRUE,FALSE,FALSE,TRUE
,,,,,,
KPIs,KPI,Productivity (Jobs / Technician / Day),FALSE,FALSE,TRUE,FALSE
,,Capacity Utilization,FALSE,FALSE,TRUE,FALSE
,,Travel Reduction,FALSE,FALSE,TRUE,FALSE
,,Workload Balance,FALSE,FALSE,TRUE,FALSE
,,,,,,
UI,Vizualization,Map,FALSE,FALSE,TRUE,FALSE
,,Table,TRUE,FALSE,FALSE,FALSE
,,Upload,,,,
,,,,,,
Optimization modes,Roster mode,Allocation based on WZ to Tech based on historical data,TRUE,FALSE,TRUE,FALSE
,Visits mode,Allocation absed on available visits,FALSE,TRUE,TRUE,FALSE
,,Allocation based on current and historical visits,TRUE,FALSE,TRUE,FALSE
,,,,,,
,,,,,,
"=== ADDED: in the Bosch product per Oleg's assessment, not covered in the list above (headings only; portability cells left blank to fill per your axes) ===",,,,,,
Optimization business rules - Daily (visit) mode,Home location,"Technician home anchor + prefer-close tiered distance cost (HOME/NEIGHBOR/FAR/VERY_FAR + haversine)",,,,
,Home location,Missing-location handling (warning / fallback) [partial],,,,
,Work-zone allocation,Work zones defined by zip-code sets (WZ_Zip); demand drives zone -> tech allocation,,,,
,Work-zone allocation,Multi-zone per tech-day up to a cap (MAX_ZONES_TD = 5),,,,
,Work-zone allocation,Booking-date gate (no scheduling before a visit's booking date),,,,
,Coverage,Forced coverage of all regular visits (primary hard guarantee),,,,
,Objective (soft),Zone-open + extra-zone penalties (lean footprint),,,,
,Objective (soft),Early-day scheduling bonus,,,,
,Objective (soft),Regular-vs-historical visit priority bonuses,,,,
Optimization business rules - Roster (standing weekly) mode,Presence,Minimum presence weekdays (>=1 staffed weekday per coverable zone; soft target 2-3),,,,
,Coverage,Weekly demand coverage (soft; convex penalty tiers; real visits protected),,,,
