Code,Canonical_pattern,Num_repos,Definition,Exemplars,Repos
SK-01,SKILL.md + YAML frontmatter,40,A SKILL.md with name/description/trigger frontmatter; auto-invoked by description match.,"phuryn/pm-skills: description fuses credited-source provenance + inline 'Use when…' trigger into one auto-match string  •  assimovt/productskills: frontmatter deliberately reduced to only name+description with a 'Use when…' tail for max portability  •  aakashg/pm-claude-skills: lower-ceremony variant — no frontmatter at all, a plain-markdown '## Trigger' phrase list drives invocation","phuryn/pm-skills, deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, anthropics/knowledge-work-plugins (product-management plugin), itseffi/personal-os, amanaiproduct/personal-os, Digidai/product-manager-skills, pratikshadake/claude-product-management-skills, assimovt/productskills, shawnpang/startup-founder-skills, aakashg/pm-claude-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, bmad-code-org/BMAD-METHOD, automazeio/ccpm, github/spec-kit, anombyte93/prd-taskmaster, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, smixs/agent-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, wshobson/agents, rohitg00/awesome-claude-code-toolkit, coreyhaines31/marketingskills, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo, anthropics/skills, anthropics/claude-plugins-official"
SK-02,Skill = folder with bundled resources,34,"A skill is a folder bundling references/, templates/, examples/, and scripts/ alongside SKILL.md.",anthropics/skills: skill-creator promotes repeated inline work into bundled scripts/ when transcripts show reinvention  •  deanpeters/Product-Manager-Skills: method + template + example files bundled per advisor skill  •  rodrigorjsf/prd-generator-plugin: skill folders bundle the requirement-ID-wired guardrail checklists,"deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, itseffi/personal-os, amanaiproduct/personal-os, Digidai/product-manager-skills, pratikshadake/claude-product-management-skills, assimovt/productskills, shawnpang/startup-founder-skills, slgoodrich/agents, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, automazeio/ccpm, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, smixs/agent-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, wshobson/agents, rohitg00/awesome-claude-code-toolkit, coreyhaines31/marketingskills, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo, anthropics/skills, anthropics/claude-plugins-official"
SK-03,Skill + Template + Example triad,17,"Each skill ships three files: a method file, a structure/template file, and a worked-example file.",pratikshadake/claude-product-management-skills: every references/example.md is an instance of one shared fictional product so the corpus composes into a single narrative  •  deanpeters/Product-Manager-Skills: method/structure/example triad per skill  •  snarktank/ai-dev-tasks: method prompt + fenced output template + worked example block,"deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, Digidai/product-manager-skills, pratikshadake/claude-product-management-skills, assimovt/productskills, shawnpang/startup-founder-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, msitarzewski/agency-agents, snarktank/ai-dev-tasks, sdi2200262/agentic-project-management, Fission-AI/OpenSpec, garrytan/gstack, coleam00/second-brain-starter, alirezarezvani/claude-skills, AgriciDaniel/claude-seo, agentii-ai/growth-hacking-kit"
SK-04,Tiered/orchestrating skills,17,Workflow skills call interactive skills which call component skills — a layered skill hierarchy.,deanpeters/Product-Manager-Skills: a shared workshop-facilitation skill owns the interaction contract; 23 advisor skills link to it ('domain file wins on conflict')  •  bmad-code-org/BMAD-METHOD: phase-numbered skill folders consume the prior phase and feed the next  •  garrytan/gstack: /autoplan loads interactive review skills and resolves their gates itself,"deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, itseffi/personal-os, slgoodrich/agents, bmad-code-org/BMAD-METHOD, automazeio/ccpm, anombyte93/prd-taskmaster, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, eugeniughelbur/obsidian-second-brain, smixs/agent-second-brain, iusztinpaul/ai-research-os-workshop, wshobson/agents, coreyhaines31/marketingskills, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo"
SK-05,Command/skill chaining,27,Slash commands chain multiple skills into a workflow.,github/spec-kit: config-driven before_/after_ extension bus lets third parties splice mandatory EXECUTE_COMMAND hooks into every core command  •  modimihir07/agentic-os: drop-in JSON cron job files hot-reloaded from disk chain skills on a schedule  •  snarktank/ai-dev-tasks: create-prd → generate-tasks → implement chained commands,"phuryn/pm-skills, deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, amanaiproduct/personal-os, bmad-code-org/BMAD-METHOD, github/spec-kit, snarktank/ai-dev-tasks, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, Fission-AI/OpenSpec, buildermethods/agent-os, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, smixs/agent-second-brain, iusztinpaul/ai-research-os-workshop, rohitg00/awesome-claude-code-toolkit, coreyhaines31/marketingskills, zubair-trabzada/ai-marketing-claude, agentii-ai/growth-hacking-kit, anthropics/claude-plugins-official"
SK-06,Interactive elicitation gate,24,Ask 3-5 clarifying questions before producing output (e.g. an Adaptive Decision Ladder).,"snarktank/ai-dev-tasks: lettered-MCQ intake (number questions, A/B/C/D options) so the user answers a whole batch as '1A, 2C, 3B'  •  deanpeters/Product-Manager-Skills: each enumerated option ships a parenthetical decision-consequence gloss that teaches while collecting  •  garrytan/gstack: inverse mode — six auto-decide principles resolve the gates in unattended /autoplan runs","deanpeters/Product-Manager-Skills, anthropics/knowledge-work-plugins (product-management plugin), itseffi/personal-os, Digidai/product-manager-skills, shawnpang/startup-founder-skills, aakashg/pm-claude-skills, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, automazeio/ccpm, github/spec-kit, snarktank/ai-dev-tasks, anombyte93/prd-taskmaster, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, buildermethods/agent-os, garrytan/gstack, coleam00/second-brain-starter, alirezarezvani/claude-skills, coreyhaines31/marketingskills, agentii-ai/growth-hacking-kit, anthropics/claude-plugins-official"
SK-07,Methodology-encoded skills,37,Named PM/business frameworks baked into skills (JTBD/RICE/OST/Mom Test/Shape Up/INSPIRED).,phuryn/pm-skills: skills credited to named sources (Torres Continuous Discovery) with the attribution doubling as the trigger string  •  cdeust/ai-prd-generator-plugin: 15 thinking strategies each tagged to a peer-reviewed benchmark with reported lift  •  jinjin1/Cursor-for-Product-Managers: OST/Continuous Discovery stages mapped 1:1 onto a folder sequence,"phuryn/pm-skills, deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, anthropics/knowledge-work-plugins (product-management plugin), itseffi/personal-os, amanaiproduct/personal-os, Digidai/product-manager-skills, pratikshadake/claude-product-management-skills, assimovt/productskills, shawnpang/startup-founder-skills, aakashg/pm-claude-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, automazeio/ccpm, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, smixs/agent-second-brain, modimihir07/agentic-os, alirezarezvani/claude-skills, wshobson/agents, rohitg00/awesome-claude-code-toolkit, coreyhaines31/marketingskills, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo, agentii-ai/growth-hacking-kit"
SK-08,Decision/diagnosis skills,28,"Reasoning skills (problem-clarity, retention-drop-diagnoser) as opposed to doc-generation skills.","cdeust/ai-prd-generator-plugin: reasoning-strategy library selected by claim features, with realized-gain telemetry  •  deanpeters/Product-Manager-Skills: diagnosis advisor skills distinct from deliverable generators  •  garrytan/gstack: decisions classified Mechanical/Taste/User-Challenge for differential handling","phuryn/pm-skills, deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, anthropics/knowledge-work-plugins (product-management plugin), itseffi/personal-os, Digidai/product-manager-skills, pratikshadake/claude-product-management-skills, shawnpang/startup-founder-skills, aakashg/pm-claude-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, github/spec-kit, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, smixs/agent-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, coreyhaines31/marketingskills"
SK-09,Enforced-output contract,41,Required sections / N output rules / placeholder-proof gates constraining the deliverable shape.,"snarktank/ai-dev-tasks: prompt embeds the EXACT target markdown (checkbox tree, Relevant Files) as a fenced block to clone, not compose  •  pratikshadake/claude-product-management-skills: SKILL.md ends with a bare empty-heading outline that IS the entire output spec  •  zubair-trabzada/ai-marketing-claude: per-band numeric rubric + weighted-composite reduce as the output contract","phuryn/pm-skills, deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, anthropics/knowledge-work-plugins (product-management plugin), itseffi/personal-os, amanaiproduct/personal-os, Digidai/product-manager-skills, pratikshadake/claude-product-management-skills, assimovt/productskills, shawnpang/startup-founder-skills, aakashg/pm-claude-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, automazeio/ccpm, github/spec-kit, snarktank/ai-dev-tasks, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, buildermethods/agent-os, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, smixs/agent-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, coreyhaines31/marketingskills, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo, agentii-ai/growth-hacking-kit, anthropics/skills, anthropics/claude-plugins-official"
SK-10,Anti-hallucination / gap-flagging,22,[NEED:…] markers and data-source/business-rule interrogation loops that surface missing inputs instead of inventing them.,Digidai/product-manager-skills: [NEED:…] markers force missing data to surface rather than be invented  •  cdeust/ai-prd-generator-plugin: NLI entailment rung flags unsupported claims  •  gsd-build/get-shit-done: brief-must-cite-predicate-ID rule blocks paraphrase-drift,"phuryn/pm-skills, product-on-purpose/pm-skills, anthropics/knowledge-work-plugins (product-management plugin), itseffi/personal-os, amanaiproduct/personal-os, Digidai/product-manager-skills, assimovt/productskills, aakashg/pm-claude-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, bmad-code-org/BMAD-METHOD, automazeio/ccpm, github/spec-kit, snarktank/ai-dev-tasks, anombyte93/prd-taskmaster, cdeust/ai-prd-generator-plugin, huytieu/COG-second-brain, garrytan/gbrain, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, agentii-ai/growth-hacking-kit"
