Repo,Scope,Standout_idea
phuryn/pm-skills,pm-core,"Provenance-in-frontmatter: each skill's description names the source framework AND the trigger ('Based on Teresa Torres' Continuous Discovery Habits. Use when…'), so auto-invocation matches intent while the body faithfully encodes the named method (OST levels, V/U/V/F risks, literal RICE/ICE formulas)."
phuryn/pm-skills,pm-core,"Strict noun/verb split enforced by tooling: skills = auto-loaded knowledge (no $ARGUMENTS), commands = user-invoked chains (single $ARGUMENTS), commands may only reference same-plugin skills — and validate_plugins.py is a CI gate that enforces every part of this contract (name=dir, semver, trigger phrasing, word-count bounds, cross-ref scoping, README sections)."
phuryn/pm-skills,pm-core,"Document-intent-first AI-shipping pipeline: /ship-check generates a fixed documentation set (architecture/flows/permissions/secrets/test-coverage) as the spec, THEN security-audit-static and derive-tests audit the real code against that documented intent — turning generated docs into the source of truth for review."
phuryn/pm-skills,pm-core,"Self-refuting audit prompt: security-audit-static instructs 'self-refute every finding… report only evidence-backed risks', baking an adversarial anti-hallucination check into a single stateless skill instead of a separate critic agent."
phuryn/pm-skills,pm-core,"Deliberately stateless by design — AGENTS.md is a redirect to CLAUDE.md to avoid duplicated guidance; no memory store, no subagents, no persisted artifacts — orchestration is pure prompt-level skill chaining inside one conversation."
deanpeters/Product-Manager-Skills,pm-core,"Adaptive Decision Ladder: interactive 'advisor' skills script a named-dimension question ladder (Q1 Stage / Q2 Team / Q3 Need / Q4 Data), each with 3-4 numbered options carrying an inline rationale gloss and an 'Or describe (custom)' escape hatch, then synthesize a recommended framework + alternative-with-tradeoffs + reassessment triggers — a reusable shape for any 'help me choose X' decision skill."
deanpeters/Product-Manager-Skills,pm-core,"workshop-facilitation as a shared interaction-protocol skill: the elicitation UX (entry modes Guided/Context-dump/Best-guess, one-question-per-turn, progress labels like 'Context Q3/8', multi-select parsing, 'recommendations only at decision points', closing 'Assumptions to Validate') is factored out once and referenced by every advisor via a relative SKILL.md link, with a documented conflict rule — meta-DRY across skills."
deanpeters/Product-Manager-Skills,pm-core,"Commands declare their skill chain in frontmatter: a `uses:` array + `outputs:` list in commands/<name>.md turns a slash-command into a self-documenting workflow router over named skills, with checkpoint gates and explicit 'Next Steps' routing to sibling commands."
deanpeters/Product-Manager-Skills,pm-core,"Pedagogy-as-constraint: CLAUDE.md makes teaching load-bearing ('Never strip explanation for brevity — coaching is the work') and enforces a 7-tick Quality Checklist + a fixed 6-section anatomy, so every skill doubles as a human-learning artifact and an agent-executable spec."
deanpeters/Product-Manager-Skills,pm-core,"Frontmatter-driven catalog generation: scripts/generate-catalog.py turns per-skill YAML into machine-readable indexes + human views, giving a vector-DB-free 'map of where skills live' that stays in sync via a build step."
product-on-purpose/pm-skills,pm-core,"The SKILL+TEMPLATE+EXAMPLE triad makes 'quality' a file, not a prompt: the skill defines method, the template defines structure, and a worked EXAMPLE.md per skill anchors the quality bar so outputs calibrate to a professional example rather than the model's average."
product-on-purpose/pm-skills,pm-core,"Trigger accuracy is empirically tested, not assumed: every skill ships an evals/trigger-fixtures.json of ≥16 labeled queries with deliberate near-miss negatives aimed at 'collision-partner' skills, and run-router-evals.mjs measures whether the description-driven router actually fires the right skill — auto-invocation as a tested contract."
product-on-purpose/pm-skills,pm-core,"A SessionStart phase-router hook reads the git branch and working-dir artifacts to infer the Triple-Diamond phase, then injects the top-4 phase-relevant skills into context with one line — context-aware skill recommendation with zero user input, failing silent."
product-on-purpose/pm-skills,pm-core,"pm-critic is a true fresh-context adversary: read-only, single-turn, maps each artifact type to its originating skill's SKILL.md contract, grades P0–P3, mandates a concrete fix per finding, and can refuse with a P0 when its inputs are incomplete — separation of critique from authorship."
product-on-purpose/pm-skills,pm-core,"The orchestrator's PRODUCED/EMPTY/FAILED result taxonomy drives governed advancement: GUARDED-AUTO advances only on substantive artifacts, forces a checkpoint on empty/ambiguous steps, and halts unconditionally on failure — a go/no-go state machine over a skill chain."
product-on-purpose/pm-skills,pm-core,"A multi-platform validator-parity check keeps bash, PowerShell, and CI validator inventories synchronized, so the same contracts (counts, cross-refs, placeholders, fabricated metrics, quote sourcing) are enforced identically across harnesses."
anthropics/knowledge-work-plugins,vendor-baseline,"Skill-first, not command-first: despite the README advertising '7 slash commands', the commands/ directory contains exactly ONE file (brainstorm.md) — all 8 skills are invoked by description-match auto-invocation. The single command exists only to front the interactive brainstorming skill, which benefits from an explicit entry point; document-generation skills are left to trigger themselves on intent."
anthropics/knowledge-work-plugins,vendor-baseline,"Tool-agnostic ~~category placeholders + a CONNECTORS.md resolver: skill prose never hardcodes a vendor ('pull from ~~tracker', 'post via ~~chat'); the same SKILL.md works whether the user connected Linear or Jira, Slack or Teams. CONNECTORS.md is the single index that maps placeholder->actual MCP server, and skills are told to consult it for unknown placeholders — clean separation of workflow logic from integration wiring."
anthropics/knowledge-work-plugins,vendor-baseline,"Remote HTTP-MCP connector layer in .mcp.json: 16 OAuth'd type:http endpoints (Linear/Atlassian/Notion/Figma/Amplitude/Pendo/Intercom/Fireflies/SimilarWeb/Slack) wired declaratively per plugin, including a region-split amplitude-eu and empty-url placeholder entries for Gmail/Calendar — the integration surface is config, not code."
anthropics/knowledge-work-plugins,vendor-baseline,"Methodology-dense SKILL.md bodies with enforced output contracts and named anti-hallucination rules (write-spec's P0 discipline, synthesize-research's quote-attribution-by-type and confidence-level rules, metrics-review's mandatory current/comparison/trend triple) — the PM judgment is encoded as hard rules inside a flat single-file skill, no bundled references/templates/examples subfolders."
anthropics/knowledge-work-plugins,vendor-baseline,"Audience x type routing inside a single skill (stakeholder-update): a 4x5 matrix of update-type by audience each with its own depth budget and template, plus RAG + ROAM risk frameworks, all in one SKILL.md rather than separate skills per audience."
itseffi/personal-os,pm-core,"Per-skill dual manifest: every skill ships a Claude-style SKILL.md AND an agents/openai.yaml sidecar (version:1, invocation.trigger: implicit|explicit), making one skill library genuinely portable across Claude Code, Codex, Pi and OpenClaw from a single source."
itseffi/personal-os,pm-core,"Three independent eval families as plain Python: behavioral skill-output (token-overlap vs fixtures/live endpoint), routing accuracy (keyword-rule 'did it pick the right skill'), and A/B memory-impact (answer quality with vs without memory search) — skill selection and memory itself are treated as testable."
itseffi/personal-os,pm-core,"validate_skills.py as a real skill-quality contract: enforces folder==name, required frontmatter, mandatory process + When-to-Use/When-Not-to-Use sections, the openai.yaml sidecar, AND greps the whole repo for stale path references — so structural quality can't silently rot."
itseffi/personal-os,pm-core,Session-eval → AGENTS.md self-correction loop with a fixed template (judgement enum + axial-code checkboxes like over-engineering/missed-requirements + an explicit 'AGENTS.md Improvements' field) reviewed weekly and folded back into the governing instruction file.
itseffi/personal-os,pm-core,"ost-intake as a dedicated normalization/handoff stage that reframes solution-flavored outcomes into measurable ones and feature-nodes into moments-in-time, emitting four clean fields as the baton the OST synthesis skill executes against."
amanaiproduct/personal-os,pm-core,"GOALS.md as an enforced relevance gate, not a passive doc: every task must cite a goal or the agent halts, and P0/P1 are hard-capped (3/7) so prioritization is structurally bounded rather than advisory."
amanaiproduct/personal-os,pm-core,An MCP server that makes 'don't create duplicate or vague tasks' a deterministic tool: SequenceMatcher title*0.7 + keyword-overlap*0.3 dedup plus a vague-verb regex that forces a clarification question before any task is written.
amanaiproduct/personal-os,pm-core,"Session Evals as a self-improvement loop for the operator's own AI use: trace_to_eval.py parses ~/.claude/projects/*.jsonl sessions into reviewable .md eval files with user-intent, collapsed turn flow, tool-usage table, an auto-suggested judgement (success/partial/failure/pending), axial codes (good-context-gathering, efficient-tool-use, iterative-refinement, task-tracking, incomplete), and an empty human-annotation block."
amanaiproduct/personal-os,pm-core,Integration-as-skill triad (README + SETUP_SKILL.md + mcp-config.json) so adding a tool like Granola is 'tell Claude to set up the integration' and the agent self-installs from the template.
amanaiproduct/personal-os,pm-core,"File-as-memory layered stack (AGENTS.md → GOALS.md → Tasks/ → Knowledge/) read every session, with per-task Progress Logs as the continuity journal — persistence with zero vector DB."
Digidai/product-manager-skills,pm-core,"Single-skill multi-domain operator: instead of a fleet of skills/agents, ONE SKILL.md dispatches across 7 domains + 40+ frameworks through an intent→framework→knowledge-file routing table — the routing table doubles as the index of where each framework lives (name-keyed retrieval, no vector DB)."
Digidai/product-manager-skills,pm-core,Two-tier quality gates: universal gates in the root file apply always; domain-specific gates ship INSIDE each knowledge module and only enter context when that module is lazy-loaded — context-scoped enforcement that scales with what's loaded.
Digidai/product-manager-skills,pm-core,"STATUS completion contract (DONE / DONE_WITH_CONCERNS / BLOCKED / NEEDS_CONTEXT) on a prose PM skill, plus a 3-strikes-then-BLOCKED guard — a machine-readable success/failure signal for inherently fuzzy deliverables."
