Repo,Scope,Pattern_raw_name,Canonical_codes,How_implemented,Notable,Source_links
AgriciDaniel/claude-seo,growth-marketing,18 specialist agents (agents/seo-*.md),"SA-09, SA-01, SA-17, SA-16","Each agent is a markdown file with YAML frontmatter: name, description (auto-routing trigger), model (e.g. sonnet), maxTurns (e.g. 20), and a least-privilege tools allowlist (seo-technical: Read, Bash, Write, Glob, Grep). Body is the system prompt encoding the specialist's analysis framework (seo-technical: 9 categories, 2026 CWV thresholds, INP-not-FID rule, 0-100 score). Persona = named SEO discipline. Model-per-agent and tool-scoping are set in frontmatter.",★,https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/agents/seo-technical.md | https://github.com/AgriciDaniel/claude-seo/tree/main/agents
AgriciDaniel/claude-seo,growth-marketing,seo-audit orchestrator -> parallel specialist fan-out,"SA-02, SA-05, SA-03","The audit agent crawls the homepage, detects business type, then spawns up to 15 subagents — 8 always-active (seo-technical, seo-content, seo-schema, seo-sitemap, seo-performance, seo-visual, seo-geo, seo-sxo) in parallel via Task — and synthesizes their findings into a 7-category weighted health score and prioritized ACTION-PLAN.md. Planner/dispatcher producing a delegation plan, then fanning out workers concurrently.",★,https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/skills/seo-audit/SKILL.md | https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/skills/seo/SKILL.md
AgriciDaniel/claude-seo,growth-marketing,Conditional / signal-gated subagent spawning,"SA-11, SA-02",7 conditional specialists spawn only when gating signals are met: seo-local on Local-Service industry detection; seo-maps when Local AND DataForSEO MCP present; seo-ecommerce on E-commerce detection; seo-cluster on content-strategy signals (blog/pillar/topic-cluster); seo-drift when a baseline exists for the URL; seo-google/seo-backlinks when credential checks pass. A dependency/availability-gated fleet rather than blind fan-out — checker-gated parallelism keyed on industry + credentials + prior state.,★,https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/skills/seo-audit/SKILL.md
AgriciDaniel/claude-seo,growth-marketing,"Graceful-degradation delegation ('if available, otherwise run inline sequentially')",SA-02,"The audit skill's delegation instruction is 'Delegate to subagents (if available, otherwise run inline sequentially)' — the same workflow runs whether or not the harness supports subagents, falling back to a sequential single-context execution. Portability-aware orchestration.",★,https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/skills/seo-audit/SKILL.md
zubair-trabzada/ai-marketing-claude,growth-marketing,"5 parallel marketing-dimension subagents (market-content, market-conversion, market-competitive, market-technical, market-strategy)","SA-05, SA-02, SA-01, SA-09","agents/<name>.md are plain-Markdown system prompts (NO frontmatter, no tools/model field — earlier auto-summaries that claimed `tools:`/`model:` were hallucinated; the raw files open directly with '# ... Subagent' then 'You are a ... specialist'). The market-audit orchestrator launches all 5 simultaneously ('Launch all 5 subagents simultaneously using Claude Code's subagent capability'), each handed the same business-type + page-map + fetched content. Each owns exactly one scoring dimension, fetches its own pages via WebFetch, scores 5 sub-dimensions 0-10 against explicit per-band rubrics (e.g. Headline Clarity 9-10 vs 7-8 vs 5-6...), and RETURNS a fixed-structure block (score table + Top Wins + Critical Fixes + Before/After rewrites + Missing Elements). The orchestrator consumes only those structured return blocks, not each agent's raw page-fetch transcript.",★,https://raw.githubusercontent.com/zubair-trabzada/ai-marketing-claude/main/agents/market-content.md | https://raw.githubusercontent.com/zubair-trabzada/ai-marketing-claude/main/agents/market-conversion.md | https://raw.githubusercontent.com/zubair-trabzada/ai-marketing-claude/main/agents/market-competitive.md | https://raw.githubusercontent.com/zubair-trabzada/ai-marketing-claude/main/agents/market-technical.md | https://raw.githubusercontent.com/zubair-trabzada/ai-marketing-claude/main/skills/market-audit/SKILL.md
alirezarezvani/claude-skills,pattern-donor,"cs-* persona agents (93 total; e.g. cs-handoff-author, CFO/CRO/CISO advisors)","SA-01, SA-09, SA-17","Agents are markdown files with YAML frontmatter: name, a rich trigger-laden description (explicit + implicit invocation signals), tools allowlist (e.g. cs-handoff-author: [Read,Write,Edit,Bash,Grep,Glob] — least-privilege), and model: inherit. Body = a tight persona system prompt with a mandated workflow (cs-handoff-author: verify handoff_prompt.md checklist → run redaction linter strict mode → load target dir via config_loader.py → write 5-section doc, cap skills 3-5). C-level domain ships 13+ distinct voiced personas (CFO≠CRO≠CISO enforced by 'voice differentiation').",★,https://raw.githubusercontent.com/alirezarezvani/claude-skills/main/productivity/handoff/agents/cs-handoff-author.md | https://github.com/alirezarezvani/claude-skills/tree/main/productivity/handoff/agents
alirezarezvani/claude-skills,pattern-donor,Orchestrator personas + 'no silent chaining' router rule,"SA-02, SA-03","ORCHESTRATION.md Pattern A (Solo Sprint: sequential persona switching by phase) and Pattern B (Domain Deep-Dive: one persona stacking multiple skills). Root CLAUDE.md hard rule: orchestrators MUST ask permission before routing to sub-skills; deterministic routers score confidence thresholds explicitly and, below threshold, ask one question with a recommended answer — a gated dispatcher→specialist mechanism rather than silent fan-out.",★,https://raw.githubusercontent.com/alirezarezvani/claude-skills/main/orchestration/ORCHESTRATION.md | https://raw.githubusercontent.com/alirezarezvani/claude-skills/main/CLAUDE.md
alirezarezvani/claude-skills,pattern-donor,Multi-Agent Handoff review cycle (Pattern C),"SA-06, SA-13","Sequential cross-disciplinary review: startup-cto designs architecture → growth-marketer evaluates from market angle → solo-founder arbitrates trade-offs, with a structured handoff summary (decisions/artifacts/open questions) carried between personas. A reviewer/critic chain that also transfers working knowledge to the next persona (fresh-context handoff), though personas share one session.",,https://raw.githubusercontent.com/alirezarezvani/claude-skills/main/orchestration/ORCHESTRATION.md
alirezarezvani/claude-skills,pattern-donor,memory-analyst + skill-extractor agents (self-improving-agent plugin),"SA-09, SA-01","Two specialist agents inside the self-improving plugin: memory-analyst (invoked by /si:review) reads MEMORY.md, finds recurring promotion candidates and consolidation groups; skill-extractor packages proven patterns into standalone skills. Each is a markdown+frontmatter agent with a scoped job in the curation pipeline.",,https://raw.githubusercontent.com/alirezarezvani/claude-skills/main/engineering-team/self-improving-agent/skills/self-improving-agent/SKILL.md
alirezarezvani/claude-skills,pattern-donor,Pre-configured persona loadouts (Startup CTO / Growth Marketer / Solo Founder),SA-04,Three bundled personas ship with curated skill loadouts that get activated as a panel for a phase of work (e.g. a 6-week launch cycles personas through build→marketing→shipping). Team-preset style invocation rather than individually wired agents.,,https://raw.githubusercontent.com/alirezarezvani/claude-skills/main/README.md | https://raw.githubusercontent.com/alirezarezvani/claude-skills/main/orchestration/ORCHESTRATION.md
