Rank,Place,County,Type,TOTAL SCORE,Crime & safety,Schools,Rent cost,Close to SF,School/TK place,Urban density,2BR median rent $,3BR median rent $,2BR under $4k (est. listings),2BR under $4k supply,3BR under $4k (est. listings),3BR under $4k supply,Violent crime /1k,Property crime /1k,Elementary district,Elementary CAASPP % met,Elementary rating /10,Middle/high district,Middle/high CAASPP % met,Middle/high rating /10,"Drive to Ferry Bldg (min, off-peak)",Miles to SF (straight line),Urbanicity index,Population,District enrolment change 2023-25 %,School assignment system,TK capacity,Rank status,Sources,Notes
1,Moraga,Contra Costa,Town,73.1,83.1,86.9,71.0,65.1,71.4,61.4,2647,3750,93% of 2BR stock,Plenty,59% of 3BR stock,Some,2.7,13.8,Moraga Elementary,78.3,10,Acalanes Union High,73.2,10,27.7,14.7,361465,16870,0.6,address-based attendance area,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); moraga.k12.ca.us,enrolment +0.6% 2023-25 (flat); address-based assignment; All four URL patterns worked first try. 2BR and 3BR from the same Zumper page. GreatSchools confirmed Contra Costa County and gave the classic California two-district split: K-8 Moraga Elementary plus 9-12 Acalanes Union High.
2,Alamo,Contra Costa,Unincorporated community,69.8,81.0,89.2,83.2,44.0,73.8,47.4,2539,3299,95% of 2BR stock,Plenty,75% of 3BR stock,Plenty,2.6,16.5,San Ramon Valley Unified,77.5,10,San Ramon Valley Unified,76.9,10,37.9,20.1,285811,14570,-4.4,address-based attendance area,"Space-conditional rather than open-ended: a priority enrollment window runs November 1–30, after which ""applications will continue to be accepted after November 30 and throughout the year on a first-come, first-served basis, as space allows at your resident school."" No TK-specific lottery or named waitlist on the page.",Ranked,crimegrade.org; CAASPP 2025 (CDE); srvusd.net,"enrolment -4.4% 2023-25 (seats opening); address-based assignment; TK constrained; Unincorporated CDP but the plain Zumper city pattern worked; 2BR and 3BR from the same page. Crime: both CrimeGrade pages resolved and named Alamo - note this is Alamo, Contra Costa County CA, a name that collides with Alamo TX and Alamo NV, and the fetched pages were the CA ones. District: single UNIFIED district (San Ramon Valley Unified, K-12, 37 schools, based in neighbouring Danville) covers K-12, so the same name is correctly in both fields. Contra Costa County Office of Education was listed but ignored per i"
3,Broadmoor,San Mateo,Unincorporated community,68.5,95.5,35.9,47.3,87.4,67.4,77.7,3795,4390,57% of 2BR stock,Some,37% of 3BR stock,Some,1.1,9.5,Jefferson Elementary,47.1,7,Jefferson Union High,45.1,7,15.7,8.7,507607,4176,-1.6,,not established,Ranked,areavibes.com (modelled from demographics; place not in FBI UCR reporting); CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment -1.6% 2023-25 (flat); CRIME RESOLVED via alternate. crimegrade.org/violent-crime-broadmoor-ca/ 404s. areavibes.com/broadmoor-ca/crime/ carries both figures on ONE page: violent 113 per 100,000 (5 reported incidents) and property 952 per 100,000 (42 reported incidents). I CONVERTED both to per-1,000 by dividing by 100: 113/100,000 -> 1.13 per 1,000; 952/100,000 -> 9.52 per 1,000. Page explicitly confirms 'Broadmoor in San Mateo County, CA' at population 4,304 - this is the CA CDP, not Broadmoor CO or any other namesake. Unlike the Sarana"
4,Strawberry,Marin,Unincorporated community,68.0,95.1,84.0,9.0,77.2,94.8,47.9,4300,9000,40% of 2BR stock,Some,0% of 3BR stock,Almost none,1.6,6.8,Mill Valley Elementary,83.5,10,Tamalpais Union High,61.5,9,21.8,9.0,291947,5393,-8.0,,not established,Ranked,areavibes.com (modelled from demographics; place not in FBI UCR reporting); CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment -8.0% 2023-25 (seats opening); CRIME CONVERTED: areavibes reports violent 158 per 100,000 and property 676 per 100,000 (2024, population 5,466); divided by 100 to get per-1,000. Both figures off the same page. DISAMBIGUATION CAUTION: crimegrade.org/violent-crime-strawberry-ca/ returns the WRONG Strawberry - its neighbor list (Long Barn, Dorrington, Arnold, Murphys) is Tuolumne County, so its 18.26/1k violent figure was discarded. The areavibes page is very likely the Marin CDP: its nearby-cities list is Woodacre, Bolinas, Lagunitas-Forest Knolls"
5,Orinda,Contra Costa,City,68.0,77.9,96.2,50.9,69.1,47.6,66.0,2825,5152,89% of 2BR stock,Plenty,18% of 3BR stock,Few,2.6,18.1,Orinda Union,87.4,10,Acalanes Union High,73.2,10,25.2,13.0,384993,19514,3.9,address-based attendance area,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); orindaschools.org,"enrolment +3.9% 2023-25 (filling); address-based assignment; Rent: standard Zumper city pattern; 3BR came from the same page as the 2BR. Crime: both CrimeGrade pages resolved and named Orinda. District: classic California two-district split - Orinda Union Elementary (K-8, 2,594 students) for elementary, Acalanes Union High (9-12, 5,425 students) for high school. No unified district covers Orinda."
6,Hillsborough,San Mateo,Town,67.7,64.4,99.5,29.3,74.0,84.3,54.4,4400,5500,37% of 2BR stock,Some,13% of 3BR stock,Few,3.7,17.7,Hillsborough City Elementary,89.5,10,Hillsborough City Elementary,81.3,10,23.6,15.3,329823,11387,-7.2,address-based attendance area,"Constrained. Space is capped at the home school across TK-5: ""If there is a lack of classroom space at your home school, your student will be placed on a waiting list for your home school but, in the meantime, will be assigned to another school within the Hillsborough City School District with the available classroom space."" Over-subscribed grades are filled in date order of completed registration, and TK families are not told their school placement until spring.",Ranked,crimegrade.org; CAASPP 2025 (CDE); hcsdk8.org,"enrolment -7.2% 2023-25 (seats opening); address-based assignment; TK constrained; Standard city slug worked for Zumper and both CrimeGrade pages; 2BR and 3BR from the same Zumper page. GreatSchools named only the K-8 Hillsborough City Elementary School District and, while noting 2 high schools exist in the city, did not name the operating high school district — so high_school_district is left null rather than filled from background knowledge. Page confirmed San Mateo County."
7,Danville,Contra Costa,Town,66.4,89.2,89.2,60.5,41.4,73.8,44.2,2872,4200,88% of 2BR stock,Plenty,43% of 3BR stock,Some,2.3,12.7,San Ramon Valley Unified,77.5,10,San Ramon Valley Unified,76.9,10,40.2,21.6,278379,43582,-4.4,address-based attendance area,"Space-conditional rather than open-ended: a priority enrollment window runs November 1–30, after which ""applications will continue to be accepted after November 30 and throughout the year on a first-come, first-served basis, as space allows at your resident school."" No TK-specific lottery or named waitlist on the page.",Ranked,crimegrade.org; CAASPP 2025 (CDE); srvusd.net,"enrolment -4.4% 2023-25 (seats opening); address-based assignment; TK constrained; RENT: standard Zumper city pattern; page explicitly confirmed as Danville, CA — I checked this one deliberately because Danville is a high-collision name (Danville, Virginia; Danville, Illinois; Danville, Kentucky), and the -ca slug resolved correctly. 2BR $2,872 and 3BR $4,200 from the SAME page (1BR $2,395). Page reports rents up 14% month-over-month but down 12% year-over-year, and an all-property-types median of $4,395 — that median is NOT the 3BR figure and was not used. CRIME: violent 2.335 and property 12.74"
8,Sleepy Hollow,Marin,Unincorporated community,66.2,77.5,77.7,61.7,61.9,89.3,29.3,3130,3897,81% of 2BR stock,Plenty,54% of 3BR stock,Some,3.4,12.3,Ross Valley Elementary,77.9,10,Tamalpais Union High,61.5,9,29.0,16.6,162127,2428,-4.1,address-based attendance area,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); rossvalleyschools.org,"enrolment -4.1% 2023-25 (seats opening); address-based assignment; IN SCOPE THIS PASS: district only — and it resolved. IDENTITY CHECK PASSED: sources are specific to Sleepy Hollow in Marin County adjacent to San Anselmo, not the Contra Costa County namesake flagged in the brief; the Marin County CDA planning page 'San Anselmo - Sleepy Hollow' corroborates the location. Sleepy Hollow is served by Ross Valley School District (elementary, K-8) and Tamalpais Union High School District (9-12) — two separate districts, not a unified one. Rent and crime fields left null because they wer"
9,Tamalpais-Homestead Valley,Marin,Unincorporated community,66.0,85.5,84.0,13.2,75.8,94.8,42.8,4370,8197,38% of 2BR stock,Some,1% of 3BR stock,Almost none,2.5,15.4,Mill Valley Elementary,83.5,10,Tamalpais Union High,61.5,9,22.3,9.6,268717,10377,-8.0,,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment -8.0% 2023-25 (seats opening); RENT: CDP slug worked on the standard Zumper city pattern; page confirmed as Tamalpais-Homestead Valley, CA. 2BR and 3BR both taken from the SAME page and same publisher (same-publisher rule satisfied). CAVEAT: the page is internally inconsistent — its 30-day breakdown table gives 1BR $3,310 / 2BR $4,370 / 3BR $8,197 while its prose gives 1BR $2,650 / 2BR $4,425 across all property types. I used the table figures for both bedroom counts so the pair stays same-page. The $8,197 3BR is almost certainly a thin-sample o"
10,San Ramon,Contra Costa,City,65.6,87.7,89.2,58.1,38.6,73.8,46.0,3002,4200,85% of 2BR stock,Plenty,43% of 3BR stock,Some,2.4,13.6,San Ramon Valley Unified,77.5,10,San Ramon Valley Unified,76.9,10,41.9,22.7,283548,84605,-4.4,address-based attendance area,"Space-conditional rather than open-ended: a priority enrollment window runs November 1–30, after which ""applications will continue to be accepted after November 30 and throughout the year on a first-come, first-served basis, as space allows at your resident school."" No TK-specific lottery or named waitlist on the page.",Ranked,crimegrade.org; CAASPP 2025 (CDE); srvusd.net,"enrolment -4.4% 2023-25 (seats opening); address-based assignment; TK constrained; Complete row. Zumper primary pattern worked; 2BR ($3,002) and 3BR ($4,200) from the SAME page. Both CrimeGrade pages resolved and self-identified as San Ramon, CA. DISTRICT: single K-12 unified district — San Ramon Valley Unified School District (37 schools, 28,615 students, administered from Danville) — so the same name is correctly recorded in both the elementary and high school fields per the unified-district instruction."
