L1 pattern,L2 sub-pattern,Example 1,Example 2,Example 3,Example 4,AIDP fit,AIDP — when it's an option,NVIDIA blueprint fit,NVIDIA blueprint,Oracle AI services fit,Oracle AI service,Applies to NATO,Proof (FreeTech # / pipeline client),Menu #,Highlight view,Karsten topic,Buyer,Public-sector reuse (EMEA Public),Distributed-cloud rung,GPU / model fit,L1 archetype (report §3.1)
Enterprise knowledge assistant (RAG),Employee knowledge assistant,"Staff officer — ask plain-language questions over doctrine, STANAGs and standing orders; get clause-cited answers","New joiner / reservist — self-serve onboarding on entitlements, regulations and unit procedures instead of ticketing the orderly room","Legal adviser — check what rules of engagement, national law and NATO policy say about a proposed action, with citations","Procurement officer — look up agency contracting rules and framework terms mid-tender, cited to the clause",◐,Corpus + permissions governed in the AIDP catalog; answers cite curated docs,◐,AI-Q (enterprise RAG / research assistant),●,"Ent AI (GenAI Agents, RAG) — Knowledge Chat Agent pack",✅,pipeline: Nesma · NHS · KPN harness,#3,first-wave,"5, 2",forces · MoD · agency,✅ legislation / policy / procedure assistants,any rung incl. CC@C Isolated,Lightning + Nemotron Embed/Rerank on L40S,1 Knowledge & document
Enterprise knowledge assistant (RAG),Customer self-service assistant,"Service member — pay, allowances and leave questions answered from own records and regulations, with next actions",Veteran / family — benefits and claims steps explained from entitlement rules; hand-off to a case worker with context intact,Recruit candidate — eligibility and process questions answered by a front-door assistant before a recruiter call,,◐,Grounding = the person's own records curated in the Gold layer,◐,Tokkio / digital-human (avatar & voice front door),●,Ent AI + Digital Assistant (+Speech for voice); Fusion HCM skills,◐,—,#17 (front door),menu,5,NCIA (Fusion HR) · MoD (national),"✅ citizen self-service (benefits, permits)",Dedicated Region / EU Sovereign Cloud,Lightning on L40S; Digital Assistant,1 Knowledge & document
Enterprise knowledge assistant (RAG),Technical corpus assistant,"Maintainer — query fault codes against IETM/S1000D manuals, schematics and service bulletins; get a step-by-step fix path",Field technician — point a phone/AR glasses at equipment; assistant identifies it and overlays guided steps with cited manuals,"Design engineer (miltech) — search past drawings, test reports and qualification records for reusable parts and prior decisions",,○,Only if the manuals/specs corpus is centralized in the catalog anyway,◐,AI-Q Kit (AR-glasses manuals RAG — SoftServe demo),◐,Ent AI RAG + Document Understanding,✅,pipeline: Nesma (engineering archive),#3 variant,menu,5,forces · miltech,"◐ utilities, transport maintenance",any rung incl. CC@C Isolated,Lightning + Embed on L40S,1 Knowledge & document
Real-time human augmentation,Contact-center agent assist,"IT service-desk agent — live transcript drives suggested fixes, policy lookups and next action for the user on the line",Watchkeeper — incoming reports auto-summarised with suggested routing and checklists while the call is live,,,○,— (real-time; AIDP only trains/feeds models offline),◐,ACE / Tokkio agent-assist,◐,Speech real-time (lim. avail.) + Ent AI,◐,—,#15 variant,—,2,agency · forces,✅ citizen contact centres,Dedicated Region,ASR NIM + Lightning on L40S,2 Research & investigation (#15 variant)
Real-time human augmentation,"Ambient scribe (meetings, clinical)","Multinational HQ staff — meetings transcribed across allied languages into structured notes, decisions and taskings","Operations room — radio-net traffic transcribed and time-stamped into a searchable log, diarised by call-sign",Exercise control — after-action discussions captured against exercise objectives for the AAR,Medical officer — patient encounter transcribed into a draft structured note for review and sign-off,○,—,●,Nemotron 3 Nano Omni (audio/OCR/video in one model) or Nemotron-3.5-ASR-Streaming / Parakeet / Canary NIMs,◐,Speech + GenAI (clinical: Oracle Health CDA),✅,—,#7,menu,"2, 5",forces · NATO bodies,"✅ courts, parliaments, emergency call centres, hospitals",Roving Edge (ASR NIM) · CC@C Isolated · Dedicated Region,Nemotron ASR / Parakeet on L4–L40S; Nano Omni for summaries,3 Perception
Deep research & investigation,Company research agent,"Intelligence analyst — open sources (news, official releases, ship/flight feeds) turned into per-entity dossiers for briefing prep","Procurement lead — supplier due diligence: ownership, sanctions, export-control flags and financial health assembled from registries",Defence-industrial analyst — capability and market scans of the miltech landscape compiled into comparable briefs,,◐,Sources landed & curated in the lakehouse; dossiers run as scheduled workflows,●,AI-Q (research assistant; the DHL Client Compass pattern),◐,Ent AI,✅,FreeTech #02 · pipeline: DHL,#2 · #16,first-wave,"2, 3",forces · MoD · NATO bodies,"✅ ministries, regulators (policy / OSINT briefs)",EU Sovereign Cloud / Dedicated Region; CC@C Isolated with Lightning,Super on H100/H200; Ultra on B200; Lightning on L40S,2 Research & investigation
Deep research & investigation,Case investigation (event-triggered),"Incident investigator — a safety or security incident triggers evidence assembly from reports, logs and sensor records into one file for review","Vetting officer — a clearance case builds a chronology from records, references and open sources for adjudication",SOC analyst — an alert triggers investigation across logs and the asset inventory to a verdict; containment proposed,Quality manager (miltech) — a field-failure report triggers batch-record and supplier-history review with a draft root cause,◐,Evidence = reconciled cross-system history in the Gold layer,◐,AI-Q,●,Ent AI (multi-tool orchestration over live systems),✅,pipeline: NHS (complaints case agent),#11 · #15 · #18 phase 2,menu,"2, 5","NCIA (NCSC, ESOC) · forces · miltech","✅ inspectorates, ombudsman, fraud units",Dedicated Region · CC@C Isolated,Super / Lightning on L40S–H100,2 Research & investigation
Deep research & investigation,RFP and bid response drafting,Bid manager (miltech) — an NSPA / NCIA / EDF call decomposed into requirements; past answers and case studies pulled into a compliant first draft,"Presales engineer (miltech) — security and supply-chain questionnaires auto-filled from the approved answer library, gaps flagged","Requirements officer (forces) — statement of requirement drafted from doctrine, capability gaps and precedent documents",,○,—,◐,AI-Q,◐,Ent AI RAG (approved answer library),✅ (miltech),—,bench (#3/#4 stack),—,—,miltech,✅ public tenders (vendor side),any rung,Lightning + Embed on L40S,1 Knowledge & document
Deep research & investigation,Scheduled intelligence briefs & reporting,"Command group — daily INTSUM-style brief of open-source signals, with sources","Logistics command — weekly readiness and supply narrative drafted from the ops data mart, anomalies called out","Policy staff — digest of new regulation, procurement notices and allied announcements relevant to the mandate",,◐,Brief derives from lakehouse data (readiness narrative); external-signal briefs → agents,◐,AI-Q,◐,Ent AI,✅,FreeTech #02,#2,first-wave,"2, 3",forces · MoD,"✅ ministries, regulators",EU Sovereign Cloud / Dedicated Region,Super on H100/H200,2 Research & investigation
Data analysis agents,Conversational analytics (NL to SQL),"Maintenance commander — availability, spares and turnaround questions in plain language; charts straight off the readiness mart","Personnel planner — self-serve slicing of manning, training currency and deployability metrics","Movement controller — throughput and backlog by route, node and priority compared on demand",,●,Native: Select AI over the governed Gold catalog,○,—,●,Select AI (Autonomous AI Lakehouse),✅,FreeTech #04,#5,first-wave,"2, 3",forces · agency,"◐ asset-heavy agencies, utilities, transport",Dedicated Region (Autonomous DB + Select AI); not edge,"Lakehouse first, GPU optional",4 Planning & optimisation
Data analysis agents,"Code-executing analyst (what-ifs, forecasts)","Sustainment planner — what-if scenarios on spares, fuel and transport under a demand swing; scenarios compared side by side",Force-generation planner — training-pipeline and manning scenarios modelled against readiness targets,Budget analyst — programme cost-shock and FX scenarios run against live data,,●,Home turf: notebooks + Spark + MLOps on curated data,◐,cuOpt (when the what-if is an optimization),◐,OCI Data Science,◐,—,bench (phase 2 of #5),—,3,forces · MoD,◐ budget / planning ministries,Dedicated Region,OCI Data Science + cuOpt on L40S,4 Planning & optimisation
Per-item processing pipelines,Extract to system of record (IDP),Contracting officer — tenders and contracts parsed into clause and term metadata loaded into the contract repository,"Maintenance clerk — work orders and inspection sheets turned into structured, validated records in the maintenance system","Movement control — customs, dangerous-goods and transport documents extracted into the movement system with validation",Medical admin — casualty and treatment forms captured into records with human review,○,Only when extractions feed analytics — not the system of record,●,NeMo Retriever extraction (Nemotron Parse · Page Elements · Table Structure) — AI Document Extraction pack (the Riyadh Air contract pattern; not the AI-Q agent),●,Document Understanding (+OIC to write to SoR),✅,pipeline: Riyadh Air (delivered),#4 · #17,first-wave,2,NCIA (Acquisition) · agency · MoD · miltech,"✅ permits, tenders, records, casework",Dedicated Region · CC@C Isolated,Nano Omni / Nemotron Parse + Page Elements + Table Structure on L40S,1 Knowledge & document
Per-item processing pipelines,Classify and route intake,"Operations centre — incoming reports (SITREPs, requests, messages) classified by topic and urgency, routed to the right desk",Records office — documents tagged with proposed classification markings and handling caveats for reviewer confirmation,"Service desk — tickets tagged by system, issue and priority; routed to the owning team",,○,Custom triage models trained on lakehouse history,○,—,●,Language (classification) + Digital Assistant routing,✅,—,#4 variant,menu,2,forces · agency,"✅ shared-service desks, citizen mail",any rung,OCI Language / Lightning on L40S,1 Knowledge & document
Per-item processing pipelines,"Review, compare, verify (coded rules)",Export-control officer — shipments and technical data screened against ITAR / EAR / EU dual-use lists; exceptions explained with evidence,Quality assurance — deliveries verified against specification and acceptance criteria; deviations listed,Contract manager — supplier invoices and milestones checked against contracted terms; variances flagged,Security officer — documents checked against marking and handling rules before release,◐,Verification joins documents against contracted reference data in the catalog,◐,AI-Q + tunable rules,◐,Document Understanding + Ent AI,✅,pipeline: Riyadh Air (production ask),bench (#4 variant),—,2,agency · miltech,"✅ audit, export control, grants compliance",Dedicated Region · CC@C Isolated,Parse + Lightning on L40S,1 Knowledge & document
Per-item processing pipelines,"Transform at scale (summarize, translate)",Coalition HQ — reports and orders translated across allied languages with consistent military terminology,Lessons-learned centre — thousands of exercise and operation reports condensed into issue-tagged abstracts,Training command — manuals summarised into role-specific quick references for expert sign-off,,◐,Batch LLM inside AIDP pipelines when output feeds analytics,◐,Nemotron (batch) / NeMo Retriever multilingual,●,"Language (translate, 30 langs) / GenAI batch",✅,—,#3 variant (documents) · #7 (speech logs),menu,"2, 5",NATO bodies · forces,"✅ EU institutions, courts, parliaments",any rung; batch on Dedicated Region,Nemotron batch on L40S–H100,1 Knowledge & document (documents) · 3 Perception (speech)
